MANCHESTER PICCADILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ843982,Long,-2.238038,Lat,53.480285,Elevation,194,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,
January,1.43,3.5,4.3,2.25,2.8,0.83,2.51,3.29,2.01,2.01,3.61,0.4,2.6,5.31,1.86,3.52,3.86,3.18,2.07,2.53,2.63,0.96,4.06,2.93,3.68,4.41,1.43,4.86,3.78,1.64,0.73,0.6,2.83,4.99,5.08,2.06,4.18,1.4,1.65,1.12,3.05,2.07,3.37,0.98,2.19,1.94,1.49,1.11,1.9,3.38,3.98,1.65,2.15,2.35,1.87,1.81,4.12,1.4,2.34,1.69,3.57,1.19,2.08,2.87,2.1,4.68,2.52,2.57,2.18,3.93,4.36,4.88,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,1.88,2.32,3.65,0.7,2.04,1.39,3.23,1.61,1.88,2.85,0.81,2.77,0.85,1.18,4.12,2.25,3.35,2.88,2.12,4.52,0.82,2.49,1.82,0.33,1.55,0.6,3.26,3.68,1.18,3.02,2.25,5.8,2.39,1.99,2.22,2.69,0.73,0.67,0.88,2.02,0.18,0.26,2.02,2.82,4.06,0.27,1.76,1.92,2.19,0.85,2.1,1.36,0.76,2.26,2.8,1.62,3.19,1.43,2.66,1.15,2.89,2.9,0.96,1.19,1.88,2.39,4.01,0.84,3.86,0.52,2.88,0.4,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,0.64,1.27,0.5,1.78,1.53,2.28,0.19,2.35,2.3,4.59,3.79,5.96,3.77,0.77,2.2,1.54,1.74,1.11,3.88,1.33,2.01,1.35,3.81,2.84,2.48,0.5,3.65,2.57,1.91,1.64,2.49,4.51,2.72,0.98,2.22,2.08,2.07,1.35,1.65,2.32,2.69,1.68,0.83,0.53,2.4,2.76,4.31,2.55,0.98,1.58,0.56,1.9,1.37,3.39,1.37,2.97,2.61,2.83,2.3,2.83,0.64,1.37,4.43,3.27,3.62,1.22,1.44,1.32,1.17,5.08,2.87,2.44,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,2.24,0.71,0.42,1.34,0.6,1.31,2.47,2.72,2.63,2.9,1.46,1.65,3.24,1.28,1.58,1.07,0.21,4.31,1.5,2,1.83,3.39,2.82,0.28,0.86,0.68,2.92,1.7,1.45,1.89,1.33,1.51,3.59,1.59,0.8,1.54,1.75,0.9,1.65,1.65,0.58,1.4,1.27,0.51,1.27,1.14,1.09,2.03,1.53,2.64,1.98,2.06,1.81,1.11,1.74,2.35,1.7,0.97,2.05,2.87,2.4,2.5,0.7,3.86,1.07,1.4,2.54,1.54,0.99,1.58,4.28,1.2,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1.12,1.5,1.65,0.27,2.26,1.61,2.58,2.93,2.37,0.31,3.36,0.95,4.96,2.21,3.67,2.44,1.76,1.62,1.01,2.67,0.76,1.97,2.7,2.17,1.64,1.63,1.06,2.82,3.09,1.99,2.42,3.96,1.95,0.98,1.39,1.42,3.74,1.99,0.78,2.24,1.87,2.28,2.8,1.71,1.83,0.72,0.61,1.52,2.47,2.11,1.53,0.68,3.25,3.15,1.83,0.66,3.06,3.35,2.07,1.35,3.25,1.19,2.45,2.71,1.96,1.27,2.24,1.9,2.63,1.55,5.96,2.06,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,1.1,4.03,3.3,4.77,2.1,4.07,3.02,3.33,3.52,2.13,7.49,1.97,3.76,4.77,3.22,0.93,4.07,1.66,0.52,1.9,1.4,2.73,5.18,2.41,1.61,3.2,3.46,1.98,2.73,4.67,2.09,1.84,7.67,4.45,0.96,3.61,1.93,0.95,2.77,0.44,3.05,2.11,3.07,1.26,2.67,2.56,3.39,2.87,2.77,1.88,2.83,1.8,0.8,1.15,1.13,2.12,1.17,5.37,1.43,1.87,3.48,2.58,4.15,1.84,1.86,2.18,3.02,1.82,1.58,1.3,2.43,0.31,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,2.47,1.59,2.32,2.69,3.34,4.33,3.06,5.02,2.72,1.97,1.91,4.25,5.38,2.06,2.14,3.25,3.76,3.81,0.32,0.97,1.15,3.31,6.99,4.64,2.26,3.46,3.27,4.95,1.1,4.51,5.36,4.38,5.91,2.2,3.89,1.41,3.56,0.95,5.02,2.31,2.25,2.26,2.64,3.02,2.96,4.5,1.64,1.51,0.31,1.68,2.39,3.57,1.71,3.3,1.02,2.08,1.47,3.02,4.54,4.63,4.04,0.27,4.21,1.11,3.83,5.25,1.64,1.82,4.01,1.91,6.13,1.09,4.34,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,3.34,3.71,3.54,1.87,2.04,3.02,4.46,6.54,4.47,7.06,5.71,2.66,2.83,5.44,2.67,3.46,5.04,1.43,2.73,2.92,1.72,1.59,3.07,4.28,2.96,5.19,3.29,4.65,5.53,5.31,2.78,4.61,3.01,3.44,1.95,1.57,2.41,1.38,2.99,5.19,3.59,5.15,4.59,2.28,3.41,3.28,2.08,2.71,5.37,1.36,4.55,1.46,2.78,4.36,4.61,3.98,2.86,3.27,2.59,2.83,5.26,2.2,5.28,2.34,2.99,3.16,1.84,6.38,2.83,2.96,2.35,4.47,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,2.06,1.22,2.5,3.5,1.95,0.85,3.16,3.69,3.73,4.12,3.17,4.85,5.31,6.61,4.65,0.72,7.66,2.98,1.67,5.54,1.9,3.3,8.29,2.56,3.88,7.85,3.08,2.26,4.51,3.41,5.57,2.59,1.91,5.06,2.97,4.37,3.59,3.71,1.46,2.3,1.11,2.67,3.25,3.59,0.67,1.42,4.77,4.15,0.51,5.01,1.22,0.7,0.85,3.48,1.11,2.31,1.55,0.77,3.19,2.18,0.18,3.48,1.84,1.36,2.79,0.55,2.22,2.04,8.7,1.67,2.72,0.82,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,2.52,3.09,3.22,1.56,3.12,5.1,2.47,1.97,5.2,3.49,4.26,1.7,5.91,6.82,2.11,4.74,2.54,3.82,4.87,3.15,9.02,4.49,5.18,3.83,3.06,3.12,2.37,4.24,3.79,2.57,2.37,3.13,3.44,5.79,2.61,4.8,5.04,1.82,1.78,2.29,2.58,3.5,3.87,2.31,3.03,2.9,4.04,1.7,3.6,2.8,3.84,2.89,3.64,6.08,1.23,2.73,4.92,2.91,1.1,5.17,3.05,2.36,3.33,1.38,1.68,1.12,3.81,5.33,3.16,1.96,1.1,1.87,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
