WHALEY-BRIDGE-MOSLEY-HALL-5-INCH-GAUGE,,,,,,,,,,
Grid ref,SK019813,Long,-1.9729342,Lat,53.328613,Elevation,760,ft.,,
Station no,RR6141,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,3.22,4.24,3.75,3.02,6.69,3.44,2.84,3.06,
February,,3.3,1.29,1.26,3.23,5.27,5.84,1.13,,
March,,2.28,5.29,5.7,5.19,1.65,2.45,2.75,,
April,,2.99,1.17,4.82,2,1.79,3.68,2.57,,
May,,1.56,2.13,2.89,3.29,1.51,2.41,1.74,,
June,,2.86,4.03,2.57,1.88,2.11,3.82,2.84,,
July,,0.76,4.31,1.76,4.5,5.65,2.91,1.84,,
August,,2.58,7.27,2.07,4.08,3.3,2.92,6.38,,
September,,2.91,2.6,1.39,3.38,0.8,2.88,2.11,,
October,,3.21,3.45,2.41,2.41,1.66,6.35,6.41,,
November,,4.47,3.02,3.93,5.6,2.58,4.09,4.71,,
December,,7.72,5.83,2.88,7.44,8.17,3.85,2.19,,
Total,,37.86,44.63,35.43,46.02,41.18,44.64,37.51,,
,,,,,,,,,,
NGR is Mosley Hall. Altitudes match,,,,,,,,,,
