BATH MONKSWOOD RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST755711,Long,-2.353866,Lat,51.438361,Elevation,365,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,0.85,3.35,2.89,1.09,2.17,2.23,3.07,0.44,1.7,0.52,4.36,3.44,1.79,1.77,4.07,3.17,0.48,4.67,1.7,1.47,1.3,3.2,1.05,4.11,5,0.72,4.6,2.62,1.5,2.99,5.22,4.48,3.51,3.15,1.86,4.17,2.67,3.29,2.41,5.3,1.27,4.7,2.2,3.9,2.94,2.49,0.92,3.85,4.21,3.87,5.08,2.44,3.77,3.45,5.81,2.02,1.88,2.99,2.17,6.8,1.34,0.75,3.29,3.41,0.74,2.32,2.91,4.65,2.71,2.73,3.7,3.57,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,1.47,0.64,0.01,1.42,3.77,3.41,0.19,0.39,3.42,1.65,3.47,5.6,0.8,1.08,1.75,3.92,0.73,1.88,1.6,1.47,0.62,4.34,2.4,2.44,1.01,3.1,5.2,4.62,1.28,1.41,2.6,1.48,0.29,4,5.69,0.18,3.95,1.68,2.74,3.11,0.98,0.85,2.69,0.07,3.56,0.16,2.83,2.94,5.02,1.14,2.16,3.22,3.48,0.46,1.79,0.84,3.15,3.38,1.52,1.94,1.55,6.83,4.57,0.75,2.76,3.43,1.95,0.34,2.83,3.7,0.22,2.29,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,4.15,1.3,1.88,0.51,0.78,2.16,2.36,2.62,4.02,0.63,0.82,1.28,2.45,1.65,4.17,1.66,3.8,2.16,1.1,2.7,3.32,0.89,3.06,5.32,3.74,4.35,1.14,4.02,2.98,1.18,4.68,2.54,2.25,2.84,1.62,1.29,0.54,0.38,2.81,3.03,0.25,2.19,0.6,2.3,3.45,2.57,1.13,2.51,3.99,0.15,1.79,2.61,4.17,2.22,1.13,0.43,1.11,1.1,5.51,1.68,1.6,1.49,3.46,3.28,0.89,3.85,1.38,0.9,2.32,1.28,3.31,2.24,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,4.04,1.64,1.24,0.86,0.04,2.83,2.4,0.77,2.94,2.16,2.86,1.38,3,1.49,3.26,1.77,2.72,1.38,4.2,3.16,2.65,2.87,1.64,0.16,3.62,1.77,1.06,1.14,2.36,2.71,1.97,4.72,0.89,2.51,2.59,2.65,1.89,2.75,1.62,1.39,0.94,2.41,2.63,3.43,1.18,2.29,4.88,2.48,3.03,0.16,3.43,3.69,1.25,1.12,1.14,2.1,1.23,2.45,2.93,2.25,2.41,2.13,4.2,1.77,2.94,0.56,1.1,1.43,0.06,1.18,2.55,1.21,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,1.16,2.14,2.61,3.53,1.24,1.62,2.13,0.46,0.26,1.33,3.05,2.09,2.54,1.29,2.01,4.68,2.41,0.11,2.26,2.71,1.64,1.69,1.83,0.98,2.22,2.92,1.19,2.6,2.48,2.91,1.67,0.53,2.17,1.84,0.87,1.98,4.86,3.39,1.43,0.78,0.73,2.68,1.92,3.26,6.14,2.22,1.26,1.56,0.49,2.6,1.87,1.29,2.4,1.69,4.56,2.93,1,2.72,4.5,3.07,4.54,3.6,2.73,2.47,4.46,2.19,2.36,4.77,0.76,1.75,2.44,1.68,1.79,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,3.06,0.8,2.95,0.92,2.45,1.38,2.85,0.54,1.47,3.5,2.56,1.79,2.09,1.96,3.48,4.29,1.67,3.86,2.61,2.83,1.15,4.59,6.3,1.87,4.51,0.9,1.87,1.26,2.27,4.43,1.09,1.29,3.94,0.18,1.5,0.56,2.67,0,2.08,3.24,2.61,1.56,0.84,3.06,0.92,1.11,1.78,6.57,2.9,1.05,1.51,2.34,0.69,2.63,0.34,1.86,2.26,3.9,3.46,1.64,2.84,0.76,2.77,1.32,2.51,1.9,5.34,3.49,2.28,1.75,5.27,1.86,2.68,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,6.13,2.65,3.9,3.24,4.14,4.34,3.86,3.61,1.03,1.78,0.55,0.48,1.47,2.42,1.6,2.06,3.05,0.68,1.28,2.83,2.78,3.14,2.05,0.09,3.63,0.49,3.09,5.05,1.4,1.89,4.7,2.1,4.99,0.87,3.61,1.56,3.51,2.9,2.28,4.44,4.47,1.84,3.47,5.73,3.42,2.36,1.77,0.47,6.56,3.61,3.13,5.45,5.53,1.64,3.49,2.18,2.63,1.55,1.42,3.65,1.01,1.85,5.4,1.57,1.5,4.53,2.99,2.1,3.1,3.65,2.84,3.02,4.31,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,2.81,4.29,3.27,6.96,3.84,2.31,3.36,2.6,2.29,5.22,2.49,1.26,3.24,2.27,3.03,4.4,3.14,4.9,2.16,2.65,3.79,2.99,4.98,1.2,6.64,1.07,2.37,2.84,4.49,8.66,2.52,2.7,1.19,1.76,4.04,3.13,3.88,2.71,1.69,5.9,2.56,3.8,3.47,4.07,1.03,1.02,2.47,2.23,0.58,2.12,3.27,2.72,0.18,5.03,4.69,3.66,2.18,3.24,6.88,0.93,3.86,2.17,4.89,5.84,5.32,3.97,3.62,0.52,4.76,3.81,2.5,3.58,4.05,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,1.78,1.52,1.2,2.12,2.49,1.76,2.99,1,6.54,3.12,0.86,3.09,0.61,3.15,1.62,2.59,1.32,1.58,1.03,0.71,2.2,3.26,0.25,1.34,0.92,2.64,1.46,1.83,1.59,2.29,6.48,1.16,1.27,2.97,1.9,2.83,3.77,3.03,0.96,6.54,1.24,0.61,4.47,2.47,5.1,2.99,2.32,6.93,3.29,2.65,3.02,1.26,1.49,0.52,2.24,2.66,2.52,2.36,4.66,2.02,2.46,1.54,5.12,2.8,4.18,4.09,4.87,1.49,3.55,3.97,4.54,0.17,4.06,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,0.96,2.95,1.31,8.62,3.18,4.79,3.39,4.07,3.54,1.35,4.63,2.91,3.52,1.29,2,7.33,0.98,1.78,5.58,5.49,2.01,5.4,4.99,4.07,4.4,2.8,2.18,4.38,7.34,5.32,1.69,2.01,2.79,0.91,1.49,4.28,4.69,2.61,3.46,2.27,5.59,5.43,2.74,1,6.37,2.56,2.22,4.87,1.67,3.44,5.01,3.36,3.96,2.32,4.38,3.6,4.92,3.78,1.28,0.39,4.2,7.49,1.73,0.93,4.91,2.45,3.28,1.39,1.68,3.27,2.43,3,6.6,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,6.89,1.05,2,3.08,2.35,2.55,5.43,6.38,0.67,1.33,2.46,3.14,2.94,0.64,2.53,2.1,1.97,3.24,3.4,2.62,1.23,0.88,4.66,3.93,2.51,3.03,3.93,1.99,3.15,0.98,2.12,1.99,1.56,2.38,1.14,2.39,2.16,1.96,5.63,3.09,3.35,7.82,4.82,4.58,1.9,0.79,1.53,6.87,4.23,1.93,4.32,6.52,8.94,2.1,1.54,2.47,6.01,0.53,5.25,2.46,1.98,3.37,6.18,7.35,4.72,1.75,6.67,3.15,0.78,2.21,2.94,3.66,4.5,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,3.56,1.89,2.07,4.68,1.15,2.76,2.65,2.41,3.65,3.9,2.78,2.28,5.5,5.64,2.5,2.24,2.23,1.1,1.72,5.35,2.52,4.83,5.12,7.24,5.32,1.82,6.64,6.29,4.5,0.62,3.62,6.23,2.88,1.98,3.08,3.48,3.81,2.84,0.47,2.39,3.56,6.53,3.65,1.86,1.31,0.91,6.44,4.2,3.14,2.28,3.87,2.72,1.66,1.98,4.27,1.82,2.4,4.95,2.97,3.05,4.17,1.91,2.53,2.81,3.19,0.94,2.57,3.44,3.59,2.58,3.89,6.52,5.12,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,27.8,26.24,39.17,24.72,28.27,37.29,29.09,23.67,33.61,24.34,28.55,33.61,26.7,24.76,42.94,27.29,24.98,30.13,33.79,26.12,34.67,41.48,28.87,42.18,29.04,32.67,38.24,39.62,35.22,32.18,32.48,34.01,19.83,30.13,31.97,37.64,28.49,26.1,38.23,36.94,33.71,35.53,34.15,35.89,25.09,27.3,43.46,34.64,35.93,31.32,38.12,36.81,30.58,32.76,31.05,29.31,30.4,40.34,29.34,37.73,29.59,42.55,40.61,40,29.15,41.86,27.69,27.82,30.91,35.74,33.27,42.42,,,,,,,,,,,,,,,,,,,,
