"BATH (MONKSWOOD RESERVOIR)",,,,,,,,,,,,
Grid ref,ST755711,Long,-2.353866,Lat,51.438361,,,,,,,
Station no,2184,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.29,3.41,0.74,2.32,2.91,4.65,2.71,2.73,3.70,3.57,,
February,4.57,0.75,2.76,3.43,1.95,0.34,2.83,3.70,0.22,2.29,,
March,3.46,3.28,0.89,3.85,1.38,0.90,2.32,1.28,3.31,2.24,,
April,4.20,1.77,2.94,0.56,1.10,1.43,0.06,1.18,2.55,1.21,,
May,2.47,4.46,2.19,2.36,4.77,0.76,1.75,2.44,1.68,1.79,,
June,1.32,2.51,1.90,5.34,3.49,2.28,1.75,5.27,1.86,2.68,,
July,1.57,1.50,4.53,2.99,2.10,3.10,3.65,2.84,3.02,4.31,,
August,5.84,5.32,3.97,3.62,0.52,4.76,3.81,2.50,3.58,4.05,,
September,2.80,4.18,4.09,4.87,1.49,3.55,3.97,4.54,0.17,4.06,,
October,0.93,4.91,2.45,3.28,1.39,1.68,3.27,2.43,3.00,6.60,,
November,7.35,4.72,1.75,6.67,3.15,0.78,2.21,2.94,3.66,4.50,,
December,2.81,3.19,0.94,2.57,3.44,3.59,2.58,3.89,6.52,5.12,,
Total,40.61,40.00,29.15,41.86,27.69,27.82,30.91,35.74,33.27,42.42,,
Calc annual,40.61,40.00,29.15,41.86,27.69,27.82,30.91,35.74,33.27,42.42,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
