BEN CHALLUM,,,,,,,,,,
Grid ref,NN396334,Long,-4.605079,Lat,56.465354,Elevation,1500,ft,,
Station no,5556/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,10.63,7.14,8.49,18.55,12.71,5.1,8
February,,,,9.58,4.5,4.47,8.4,6.09,8.72,8.61
March,,,,7.31,5.87,5.43,11.4,3.46,11.16,2.94
April,,,,5.13,8.02,4.28,4.6,6.55,8.63,12.83
May,,,,5.47,6.5,9.16,4.1,10.14,3.61,5.44
June,,,,7.01,6.15,6.73,5.47,4.42,6.29,5
July,,,,5.96,1.54,8.68,7.81,6.49,9.22,6.5
August,,,,8.58,3.25,7.56,9.77,10.73,7.02,6.9
September,,,,16.29,11.62,9.4,7.1,8.37,3.41,6.65
October,,,,19.67,10.63,9.95,14.7,11.54,12.48,8.63
November,,,21.65,18.65,5.66,7.85,5.41,3.23,13.62,11.49
December,,,14.19,24.43,22.26,19.65,18.34,11.51,19.13,16.85
Total,,,,138.71,93.14,101.65,115.65,95.24,108.39,99.84
,,,,,,,,,,
Station no,5556/2,,,,,,,,,
Midas,15088,,,,,,,,,
Hyd Stn,860742,,,,,,,,,
