STANMORE-COUNCIL-OFFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ159921,Long,-0.32742317,Lat,51.615805,Elevation,280,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,870/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,3.8,2.81,4.42,2.41,2.44,2.82,4.53,1.77,2.32,1.9,1.93,5,1.16,0.9,3.17,1.82,0.92,0.95,3.03,4.18,1.7,2.83,2.63,2.3
February,,,,,,,4.3,0.36,0.95,1.84,2.48,0.93,1.17,0.83,1.94,3.07,1.64,1.48,1.26,4.17,4.93,0.82,1.88,2.54,1.72,0.32,3.31,2.86,0.1,2.34
March,,,,,,,2.75,0.44,1.57,2.98,2.98,1.82,0.48,0.2,0.65,1.49,6.74,0.9,1.16,1.03,3.79,,0.61,2.68,1.24,1.06,1.33,1.37,2.44,2
April,,,,,,,,0.23,2.84,2.14,1.95,1.48,1.07,1.83,1.16,1.55,1.81,1.23,1.84,2.01,2.7,1.54,2.57,0.31,0.5,1.02,0.27,1.54,2.53,0.64
May,,,,,,,,1.54,1.49,1.62,2.06,2.96,2.41,0.52,3.16,3.33,1.38,2.9,2.18,1.55,2.2,1.93,1.56,2.05,4.65,0.46,1.28,2.85,0.63,2.45
June,,,,,,,,0.45,1.74,0.99,1.85,0.31,2.06,1.48,1.88,2.47,3,2.29,0.75,1.43,1.48,1.29,1.97,3.6,1.93,2.44,1.31,4.73,1.51,1.36
July,,,,,,,,0.96,2.04,2.82,5.78,1.93,1.72,1.4,3.13,2.68,2.25,1.27,1.76,4.86,1.11,0.66,3.34,2.99,0.22,4.42,3.72,3,2.32,3.85
August,,,,,,,,2.46,3.62,0.16,4.66,2.81,1.92,2.6,1.73,4.63,0.2,2.47,2.31,2.42,3.66,6.24,2.06,2.74,1.21,4.86,2.35,3.37,1.78,2.88
September,,,,,,,,1.58,1.75,1.13,0.45,1.17,2.5,3.32,1.85,3.22,1.24,1.66,0.35,3.12,2.97,3.99,2.37,1.98,1.48,3.03,2.96,4.65,0.03,4.53
October,,,,,,1.92,,3.04,5.38,2.95,0.86,3.85,2.92,4.1,2.97,1.52,0.11,2.26,6.11,0.41,1.09,3.1,2.93,2.76,4.07,2.47,2.05,2.6,2.21,6.12
November,,,,,,3.13,,3.6,5.31,7.3,2.62,2.03,1.5,3.83,0.25,5.22,1.24,2.02,2.61,4.74,5.27,3.38,1.5,4.22,1.53,0.62,2.42,2.61,2.53,3.93
December,,,,,,1.86,,3.1,1.32,1.41,1.69,2.95,1.3,1.56,3.35,2.36,2.85,2.8,1.49,1.74,1.66,2.57,0.56,1.68,2.33,3.59,2.45,3.49,4.01,3.01
Total,,,,,,,,20.57,32.43,27.75,29.82,25.06,23.58,23.44,24.39,33.44,24.39,26.28,22.98,28.38,34.03,,22.27,28.5,23.91,28.47,25.15,35.9,22.72,35.41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is some council offices with correct relationship to church and correct altitude.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This NGR is on the 1950s record but crossed out with a new NGR of TQ152917, which does not fit the descriptions, unless the gauge moved in the 1950s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
