N UIST MONACH,,,,,,,,,,,,
Grid ref,NF593627,Long,-7.694346,Lat,57.525698,,,,,,,
Station no,5763,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,8.13,3.30,3.36,5.45,5.29,3.49,5.09,4.53,4.38,4.83,,
February,2.25,1.98,1.53,5.33,3.41,4.84,4.49,4.40,4.39,1.98,,
March,0.51,2.49,3.68,7.60,2.25,6.49,2.46,4.79,4.33,1.19,,
April,3.38,2.43,1.79,1.42,5.92,2.26,3.51,2.67,2.14,3.84,,
May,2.41,1.50,1.99,1.83,3.34,1.45,2.32,2.35,2.68,3.57,,
June,2.82,3.84,0.90,2.07,2.65,1.53,1.26,4.75,3.33,0.94,,
July,2.00,1.20,1.86,2.14,2.20,2.72,3.31,1.83,2.67,2.71,,
August,5.09,2.34,1.58,5.84,6.22,2.76,4.81,5.01,3.00,3.48,,
September,4.54,2.73,3.29,2.72,4.14,4.31,2.24,2.26,3.59,1.69,,
October,3.67,4.36,3.27,6.12,3.97,4.21,4.34,2.77,3.44,5.93,,
November,3.21,2.42,4.38,4.86,3.87,4.41,4.41,4.93,5.64,3.57,,
December,8.01,2.68,3.03,4.12,5.25,4.75,5.12,5.55,5.79,3.90,,
Total,46.02,31.27,30.66,49.00,48.51,43.22,43.36,45.84,45.38,37.63,,
Calc annual,46.02,31.27,30.66,49.50,48.51,43.22,43.36,45.84,45.38,37.63,,
Difference,0.00,0.00,0.00,-0.50,0.00,0.00,0.00,0.00,0.00,0.00,,
