OVERBURY COURT GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO956373,Long,-2.065551,Lat,52.034088,Elevation,212,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2422/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,4.11,1.65,2.01,2.08,1.99,0.73,2.99,2.66,2.57,4.59,2.71,2.77,3.95,4.66,1.84,1.41,2.1,1.43,4.57,1.12,0.45,2.44,1.52,0.87,1.12,2.3,3.41,1.9,2.05,3.54,5.28
February,,,,,,,,,,,0.53,2.04,0.17,2.61,0.52,2.05,2.7,3.52,0.62,0.86,2.24,2.31,0.69,1.71,0.95,1.34,1.56,0.88,0.88,0.86,3.91,2.54,0.69,1.42,2.21,1.02,0.52,2.35,3.25,0.13,1.67
March,,,,,,,,,,,1.86,0.05,1.74,2.29,1.82,0.59,1.84,3.23,0.21,2.08,1.56,2.66,1.9,1.1,0.32,1.01,0.98,5.2,1.1,1.41,1.02,3.9,1.9,1.18,1.85,1.8,0.59,2.1,1.01,2.5,1.95
April,,,,,,,,,,,2.43,3.23,2.63,0.97,2.04,3.54,2.61,2.18,0.2,3.03,2.38,1.19,1.13,0.98,1.27,1.09,2.22,1.99,1.85,1.98,1.88,2.9,1.92,2.55,0.41,1.34,1.44,0.11,0.9,2.51,1.35
May,,,,,,,,,,,1.65,3.68,7.09,2.47,0.95,1.75,0.7,2.32,1.39,1.24,2.03,1.73,3.24,3.07,0.84,3.12,3.03,1.72,3.44,1.73,1.97,3.28,3.13,1.95,2.64,4.94,1,0.98,2.58,0.57,1.31
June,,,,,,,,,,,1.18,5.37,1.06,2.16,0.71,2.79,3.04,1.48,0.96,1.93,0.58,2.16,0.12,1.63,2.33,2.45,2.86,1.43,1.84,0.44,1.81,0.65,1.75,2.62,2.45,3.55,1.61,1.17,3.52,1.33,2.1
July,,,,,,,,,,,3.04,3.51,1.61,1.07,1.18,0.58,5.62,3.66,2.61,4.36,2.81,3.69,1.73,0.79,3.51,2.03,1.62,2.27,1.06,1.33,3.01,0.77,0.52,3.93,2.4,0.84,2.25,4.14,2.72,1.27,2.98
August,,,,,,,,,,,2.63,4.16,2.59,0.56,2.03,1.29,0.37,0.56,3.8,2.23,0.2,3.75,3.01,1.35,2.93,2.39,4.59,0.74,2.81,1.55,4.16,4.52,4.61,3.15,4.16,0.38,3.53,3.44,1.62,1.22,3.19
September,,,,,,,,,,,3.27,2.77,3.23,1.83,2.05,3.2,3.22,2.21,2.31,0.57,0.83,0.43,2,1.88,2.62,2.03,2.99,1.62,3.14,2.19,3.22,1.87,1.02,2.23,1.89,1.52,2.81,3.35,3.92,0.15,4.37
October,,,,,,,,,,,2.52,0.79,4.27,3.36,1.23,3.46,1.57,2.73,2.58,3.04,3.63,2.01,2.61,1.98,2.84,3.08,0.39,0.24,2.54,5.18,0.74,1.12,4.42,1.73,3.17,1.04,2,1.19,2.29,2.14,4.46
November,,,,,,,,,,,3.95,3.36,1.5,0.72,2.4,4.74,2.05,1.7,2.56,4.01,5.41,2.68,1.9,1.42,4.06,0.43,4.55,1.68,1.04,2.33,4.28,5.69,3.29,0.79,4.89,2.4,0.95,1.68,2.97,3.38,3.95
December,,,,,,,,,,,3.4,1.07,1.31,0.35,5.26,3.16,2.46,1.96,3.09,1.63,1.45,1.64,2.84,1.04,1.83,4.27,2.27,1.77,2.69,1.35,1.59,1.68,2.49,0.87,1.91,2.21,2.55,2.18,2.42,4.48,2.18
Total,,,,,,,,,,,30.57,31.68,29.21,20.47,22.18,27.88,29.17,28.21,22.9,29.57,25.83,27.02,25.12,21.61,25.34,24.65,29.16,20.97,26.96,21.47,28.04,31.36,27.26,23.29,29.1,23.34,22.66,24.59,29.25,23.22,34.79
