MELTON-MOWBRAY-COSTON-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,SK849221,Long,-0.74247638,Lat,52.789803,Elevation,362,ft,,,,,,,,,,,,
Station no,RR6632,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,1.81,1.53,2.19,1.54,3.61,1.82,1.18,0.43,1.19,1.96,2.31,2.27,1.61,2.63,1.96,0.8,
February,,,,1.66,1.63,1.45,2.22,1.91,1.75,1.87,1.81,3.43,1.68,3.1,0.85,2.35,0.25,0.55,2.11,
March,,,,1.47,1.04,0.7,2.68,1.58,0.6,0.68,1.57,1.49,0.98,1.2,1.36,0.79,2.58,1.61,2.51,
April,,,,1.21,0.89,1.18,4.18,3.08,1.56,2.66,1.75,1.29,3.27,2.46,1.54,1.7,1.47,0.88,2.18,
May,,,,2.41,0.85,1.22,0.72,2.47,3.76,3.9,1.44,0.74,2.04,1.92,1.2,1.83,4.5,1.71,1.13,
June,,,,2.08,1.09,2.88,2.25,1.74,2.5,4.19,3.3,1.81,3.68,2.85,0.96,1.85,1.36,0.61,2.43,
July,,,,1.84,1.24,7.78,0.61,2.94,1.43,4.25,6.39,2.05,2.86,3.18,4.92,0.11,2.66,1.06,4.79,
August,,,,3.77,2.49,2.79,2.04,3.05,5.48,3.67,1.57,4.73,2.72,2.93,1.74,2.29,2.11,0.61,2.26,
September,,,,1.9,2.26,2.19,4.85,2.17,1.27,3.29,4.5,2.43,2.61,5.46,0.98,2.89,1.54,2.5,1.09,
October,,,,1.92,1.99,5.48,1.39,2.06,2.36,0.75,5.91,3.14,5.11,2.16,1.21,6.34,3.98,2.13,0.5,
November,,,,2.14,2.28,4.23,3.02,2.32,4.01,1.6,1.57,2.35,3.57,3.73,1.28,2.91,2.25,1.77,3.14,
December,,,,0.43,1.89,1.94,5.57,1.75,1.73,1.33,2.63,2.66,3.98,0.85,2.06,0.87,3.85,1.23,1.43,
Total,,,,22.64,19.18,34.03,31.07,28.68,28.27,29.37,32.87,27.31,34.46,32.15,20.37,25.54,29.18,16.62,24.37,
