HASKETON-LOWOOD-HALL,,,,,,,,,,
Grid ref,TM242514,Long,1.2731695,Lat,52.115437,Elevation,150,ft,,
Station no,1358/8,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,2.15,3.8,4.52,2.47,6.08,
February,,,,,2.06,2.79,3.22,0.79,0.43,
March,,,,,1.65,0.53,2.68,0.46,2.28,
April,,,,,2.47,1.4,2.83,0.41,2.6,
May,,,,,2.17,0.87,2.72,2,1.06,
June,,,,,2.64,3.89,1.3,1.68,1.32,
July,,,,,0.45,4.16,1.33,1.38,2.36,
August,,,,,1.39,0.89,1.31,1.18,1.47,
September,,,,,3.86,2.08,1.87,2.23,0.59,
October,,,,,3.09,2.42,2.23,3.06,8.35,
November,,,,,4.48,3.37,1.25,2.21,4.3,
December,,,,,2.42,1.35,3.31,1.96,1.33,
Total,,,,,28.83,27.55,28.57,19.83,32.17,
