HALIFAX W.W. (WALSHAW DEAN) NO.3 to west and above Middle Reservoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD962344,Long,-2.059183,Lat,53.80588,Elevation,1180,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3261/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,7.78,2.27,3.1,6.9,6.93,10.66,4.72,6.13,5.2,10.91,3.6,3.62,4.97,6.66,2.02,4.36,3.36,6.74,5.75,5.85,4.21,7.15
February,,,,,,,,,6.67,2.13,8.16,2.46,4.96,3.88,7.46,7.19,4.85,4.21,4.47,6.69,4.14,2.02,4.22,3.56,3.96,2.8,5.18,9.29,1.2,4.76
March,,,,,,,,,4.18,4.52,4.69,5.02,1.79,0.97,2.26,1.87,10.84,2.71,1.93,2.89,5.77,2.25,2.22,3.52,2.83,2.71,6.07,3.3,2.45,2.3
April,,,,,,,,,2.97,4.25,3.09,2.77,3.57,3.7,3.47,1.77,6.48,3.03,5.11,3.97,2.95,3.54,3.47,0.85,2.44,4.29,0.59,2.33,4.83,3.79
May,,,,,,,,,1.7,1.36,3.19,4.33,3.45,3.94,5.75,2.19,2.78,1.6,2.92,2.86,5.16,2.39,1.98,4.02,4.32,2.73,1.65,6.38,2.4,2.34
June,,,,,,,,,4.04,1.06,0.87,1.68,5.28,4.69,6.02,3.67,3.23,6.13,0.66,2.36,1.41,3.67,2.81,3.59,3.43,3.17,3.07,5.66,4.18,1.95
July,,,,,,,,7.53,7.74,6.12,2.9,7.19,3.3,3.78,3.3,5.19,3.84,2.1,2.92,4.74,4.18,2.53,5.26,6.57,0.99,7.47,6.56,4.24,3.85,7.48
August,,,,,,,,7.26,3.06,3.56,9.11,4.49,9.47,3.64,5.36,8.51,0.3,4.55,2.66,7.02,5.04,6.4,7.18,10.1,1.26,10.99,8.25,4.42,1.16,6.28
September,,,,,,,,2.73,2,5.37,0.78,4.28,6.43,8.21,3.81,8.48,3.69,3.48,1.42,6.29,2.72,5.45,5.3,7.1,3.55,5.62,7.6,6.39,0.39,3.78
October,,,,,,,,12.89,3.39,5.29,7.15,10.68,3.42,5.56,5.56,1.57,1.83,2.92,5.16,3.36,1.66,5.74,2.54,9.83,3.77,3.48,7.32,4.86,6.31,6.83
November,,,,,,,,9.7,9.3,8.68,3.84,2.27,4.85,8.71,1.27,10.63,7.28,2.83,7.19,5.75,12.1,2.81,6.93,8.59,3.15,3.29,3.24,1.88,6.3,8.29
December,,,,,,,,5.78,4.08,7.07,4.3,6.26,3.94,5.92,3.55,5.74,5.52,5.16,9.02,3.47,10.64,5.67,2.71,8.78,7.48,8.03,8.06,5.93,9.42,7.1
Total,,,,,,,,,56.91,51.68,51.18,58.33,57.39,63.66,52.53,62.94,55.84,49.63,47.06,53.02,60.74,49.13,46.64,70.87,40.54,61.32,63.34,60.53,46.7,62.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
