RHONDDA-CASTELL-NOS-RES NEW GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SN963002,Long,-3.5016341,Lat,51.690943,Elevation,1100,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,4084/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,9.6,18.47,9.5,13.76,2.58,11.29,16.08,15.16,14.26,4.75,5.1,8.33,15.73,12,7.74,15.63,9.55,22.96,4.05,3.53,12.88,10.52,2.99,5.39,8.23,12.62,14.96,9.99,11.81,9.95
February,7.74,0.02,7.83,0.66,12.74,3.83,14.21,4.85,8.61,9.22,9.22,0.97,6.94,2.2,13.76,11.23,2.5,6.7,5.44,16.64,9.53,1.97,3.49,9.88,4.23,0.88,10.9,11.56,0.64,9.62
March,1.28,5.05,7.33,6.66,2.25,6.23,5.36,1.5,3.98,7.49,5.61,6.35,2.2,0.64,5.39,3.7,15.19,6.28,3.31,6.74,8.49,6.49,7.46,8.43,5.28,4.63,12.02,1.6,8.26,4.02
April,5.55,7.02,3.11,5.08,9.35,4.55,5.84,0.46,5.52,5.09,2.4,3.82,2.69,5.45,5.8,2.31,9.35,4.04,7.73,6.35,8.03,6.32,5.97,2.84,4.68,2.02,0.72,2.45,7.72,6.69
May,6.1,7.9,2.16,4.47,2.34,2.07,3.04,7.41,1.22,2.14,4.78,11.47,10.23,3.36,6.15,4.5,3.08,6.59,7,2.91,4.31,5.15,5.87,5.67,8.06,2.36,4.14,7.3,2.6,2.43
June,8.57,3.84,3.76,2.95,9.13,4.99,3.2,6.37,6.55,0.8,2.59,0.35,7.25,5.17,7.97,8.32,3.94,10.07,1.65,3.85,3.14,4.76,6.01,9.79,9.81,5.43,1.39,5.07,3.61,5.95
July,7.8,6.67,7.73,2.55,1.97,13.48,4.12,7.43,17.48,7.47,4.33,7.14,6.14,5.69,6.18,4.3,5.38,3.44,3.27,10.79,2.51,3.99,12.93,7.8,2.09,7.62,8.25,8.27,7.73,9.66
August,7.5,1.82,2.31,8.6,3.24,2.11,1.08,6.37,5.07,0.79,10.11,8.85,9.24,6.73,4.32,13.65,0.82,10.55,4.72,14.24,11.99,10.47,8.69,9.34,1.86,9.43,7.32,8.62,2.22,8.67
September,3.33,10.32,2.62,8.07,15.17,5.2,3.64,4.62,1.25,4.46,0.67,6.42,8.28,9.39,7.16,14.9,4.48,10.43,3.39,15.4,8.7,4.28,9.85,13.43,3.23,10.12,13.82,15.95,0.66,7.41
October,2.74,14.32,11.35,9.79,12.89,5.32,4.19,15.07,6.3,13.04,8.43,8.6,7.03,13.19,10.15,1.77,2.64,8,15.27,5.5,1.85,10.3,5.95,18.48,5.75,3.5,10.04,11.38,10.85,11.1
November,18.33,7.83,2.07,3.07,12.6,11.13,4.26,15.75,19.84,19.36,6.6,1.39,5.09,16.8,1.27,21.15,11.28,4.96,10.22,11.18,16.65,4.45,9.75,18.63,8.54,3.02,3.77,3.92,13.1,22.2
December,5.71,5.93,2.62,22.41,6.51,15.94,5.8,9.98,5.43,7.03,8.75,13.17,5.04,8.93,11.69,10.24,9.56,16.82,12.02,4.11,12.7,7.18,2.55,9.61,14.93,12.43,7.71,8.66,21.04,12.76
Total,84.25,89.19,62.39,88.07,90.77,86.14,70.82,94.97,95.51,81.64,68.59,76.86,85.86,89.55,87.58,111.7,77.77,110.84,78.07,101.24,100.78,75.88,81.51,119.29,76.69,74.06,95.04,94.77,90.24,110.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The NGR on the 1950s record does not match the descriptions on the records or the altitude. The NGR used is in the area at the base of the dam; the gauge may have moved 100 to 200 yards, when the new gauge was installed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
