"ACRISE SCHOOL HOUSE",,,,,,,,,,,,
Grid ref,TR203415,Long,1.147233,Lat,51.130387,,,,,,,
Station no,RR4497,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.79,1.20,1.89,,,,,,,,,
February,7.23,2.42,2.08,,,,,,,,,
March,1.74,3.59,2.00,,,,,,,,,
April,1.27,3.02,0.98,,,,,,,,,
May,1.61,1.31,2.74,,,,,,,,,
June,5.45,1.81,3.60,,,,,,,,,
July,1.20,1.91,1.98,,,,,,,,,
August,4.14,2.01,7.17,,,,,,,,,
September,1.61,2.09,0.99,,,,,,,,,
October,3.53,2.92,3.82,,,,,,,,,
November,6.35,1.43,4.12,,,,,,,,,
December,6.78,7.48,-999.00,,,,,,,,,
Total,46.70,31.19,35.73,,,,,,,,,
Calc annual,46.70,31.19,31.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,4.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
