"DARTMOOR SANATORIUM, CHAGFORD",,,,,,,,,,,,
Grid ref,SX684868,Long,-3.863490,Lat,50.665955,,,,,,,
Station no,1754,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,9.42,2.86,11.08,2.77,2.47,3.51,,
February,,,,,10.77,2.57,5.84,2.76,3.28,0.89,,
March,,,,,4.71,9.44,3.35,1.66,6.02,7.72,,
April,,,,,,4.21,1.50,6.69,2.76,3.37,,
May,,,,,3.22,0.63,3.00,5.21,2.51,2.01,,
June,,,,,1.83,2.75,1.60,2.98,0.71,3.28,,
July,,,,,,0.27,0.56,1.20,3.71,1.86,,
August,,,,,,4.15,2.45,3.43,5.76,1.75,,
September,,,,,,1.84,0.90,1.08,2.44,1.63,,
October,,,,,,3.47,7.80,8.42,1.81,8.68,,
November,,,,,3.74,6.09,4.84,4.43,1.98,2.09,,
December,,,,,5.48,1.88,4.44,6.70,4.63,7.52,,
Total,,,,,,40.16,47.36,47.33,38.08,44.31,,
Calc annual,0.00,0.00,0.00,0.00,39.17,40.16,47.36,47.33,38.08,44.31,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,-0.00,0.00,0.00,,
