HUTTON CRANSWICK VICARAGE,,,,,,,,,,,,,,,
Grid ref,TA025534,Long,-0.439,Lat,53.967,Elevation,79,ft,,,,,,,
Station no,3401/4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.13,4.66,0.83,1.00,1.80,1.60,0.93,1.51,1.19,4.14,1.48,2.16,1.95,4.89
February,,1.99,1.00,0.64,3.59,2.55,0.69,1.40,1.67,1.61,1.63,2.28,3.28,0.33,1.75
March,,4.15,0.77,1.00,1.18,2.74,1.93,0.33,1.76,2.04,0.85,1.25,1.90,1.42,1.35
April,,1.49,1.67,2.05,2.68,1.25,1.28,2.57,0.29,0.73,0.91,0.36,0.89,2.22,1.13
May,1.64,0.56,1.70,1.56,1.76,3.89,1.53,1.62,2.06,2.79,0.87,1.33,1.93,0.66,1.65
June,2.15,2.42,6.50,0.63,1.09,1.64,2.03,1.78,1.48,1.70,2.43,2.14,4.14,1.48,0.54
July,2.35,1.17,0.68,1.66,2.93,1.73,1.80,1.64,1.39,1.16,3.49,3.16,3.55,1.37,3.66
August,3.44,0.57,3.32,2.16,3.69,5.70,1.96,2.02,4.95,0.65,4.82,4.30,1.56,0.80,4.27
September,4.49,1.08,1.34,0.81,2.89,1.38,3.80,1.13,2.26,0.82,1.50,2.88,1.72,0.23,2.44
October,1.04,0.80,1.48,2.74,1.29,1.45,2.19,1.37,3.70,1.59,1.21,1.99,1.95,2.03,6.88
November,5.47,1.71,1.33,3.87,4.15,3.73,3.02,2.00,4.00,1.26,0.54,2.27,0.70,2.81,4.14
December,2.91,1.32,1.85,2.13,2.83,2.00,1.93,1.11,1.87,2.53,2.03,2.18,3.22,3.82,3.19
Total,,19.39,26.30,20.08,29.08,29.86,23.76,17.90,26.94,18.07,24.42,25.62,27.00,19.12,35.89
,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/120,,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/207,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# The station continued until 1964 according to MIDAS. (MIDAS src_id = 2146),,,,,,,,,,,,,,,
