"HUTTON CRANSWICK (THE VICARAGE)",,,,,,,,,,,,
Grid ref,TA025534,Long,-0.439026,Lat,53.966527,,,,,,,
Station no,3401/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.80,1.60,0.93,1.51,1.19,4.14,1.48,2.16,1.95,4.89,,
February,2.55,0.69,1.40,1.67,1.61,1.63,2.28,3.28,0.33,1.75,,
March,2.74,1.93,0.33,1.76,2.04,0.85,1.25,1.90,1.42,1.35,,
April,1.25,1.28,2.57,0.29,0.73,0.91,0.36,0.89,2.22,1.13,,
May,3.89,1.53,1.62,2.06,2.79,0.87,1.33,1.93,0.66,1.65,,
June,1.64,2.03,1.78,1.48,1.70,2.43,2.14,4.14,1.48,0.54,,
July,1.73,1.80,1.64,1.39,1.16,3.49,3.16,3.55,1.37,3.66,,
August,5.70,1.96,2.02,4.95,0.65,4.82,4.30,1.56,0.80,4.27,,
September,1.38,3.80,1.13,2.26,0.82,1.50,2.88,1.72,0.23,2.44,,
October,1.45,2.19,1.37,3.70,1.59,1.21,1.99,1.95,2.03,6.88,,
November,3.73,3.02,2.00,4.00,1.26,0.54,2.27,0.70,2.81,4.14,,
December,2.00,1.93,1.11,1.87,2.53,2.03,2.18,3.22,3.82,3.19,,
Total,29.86,23.76,17.90,26.94,18.07,24.42,25.62,27.00,19.12,35.89,,
Calc annual,29.86,23.76,17.90,26.94,18.07,24.42,25.62,27.00,19.12,35.89,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
