"LOCH OSSIAN, STRATHOSSIAN HOUSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 406 734,Long,-4.612903,Lat,56.824467,Elevation,1180,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,5.99,11.68,6.11,9.51,13.04,11.73,18.3,1.3,13.03,6.6,16.15,11.25,16.55,4.69,4.4,14.1,16.35,5.47,0.41,0.66,6.58,10.18,12.6,4.5,,,,,
February,,,8.09,8.51,3.04,6.64,6.68,3.53,9.32,1.86,0.48,8.51,0.22,5.57,3.79,11.19,2.85,5.4,10.01,10.65,1.61,5.78,2.8,8.6,5.07,14.05,,,,,
March,,,3.83,3.45,0.41,3.09,6.7,3.91,6.23,1.1,3.5,1.55,3.66,4.16,3.8,5.81,3.47,1.1,10.63,6.27,5.91,1.12,2.47,7.9,3.08,9,,,,,
April,,,2.04,2.9,3.18,7.76,3.55,6.72,3,3.43,2,4.48,7.3,4.09,6.54,3.99,2.83,1.97,0.58,4.67,4.86,2.94,2.89,8.57,4.57,2.03,3.43,,,,
May,,,8.78,3.98,4.3,9.19,4.22,2.99,1.21,6.75,5.55,5.63,4.04,2.8,5.78,0.56,2.8,3.26,4.32,1.44,2.55,3.24,4.16,4.32,5.4,7.2,1.43,,,,
June,,,3.15,3.01,2.66,1.84,3.42,5.4,6.6,3.12,4.64,7.03,1.18,2.78,1.8,4.83,1.53,3.98,8.03,3.8,2.91,1.01,2.99,6.75,7.4,6.77,5.71,,,,
July,,,4.85,5.8,6.59,2.38,4.07,4.74,4.74,3.67,3.94,6.29,6.81,3.84,4.05,1.75,6.25,5.88,5.27,7.07,6.72,4.08,3.62,4.15,3.05,2.15,7.28,,,,
August,,,3.58,8.31,5.02,3.13,5.33,5.53,4.81,7.55,9.49,2.6,4.41,6.43,6.84,5.26,3.36,4.26,4.56,2.13,3.84,6.6,8.7,6.66,4.7,2.2,4.2,,,,
September,,,3.53,8.22,10.98,4.05,6.67,7.37,5.92,5.66,5.63,2.42,6.82,1.47,10.89,10.83,4.56,6.54,6.47,3.28,3.71,2.91,9.4,8.15,5.17,8.67,10.1,,,,
October,,,4.2,16.11,5.99,6.56,6.63,9.1,9.57,10.84,12.85,8.43,10.94,6.86,14.88,18.2,10.7,2.63,15.38,3.92,8.85,8.03,9.41,17.2,8.07,5.54,0.51,,,,
November,,,5.12,4.99,5.23,1.23,10.87,6.53,9.8,13.18,9.15,9.76,9.91,3.93,2.92,6.9,6.4,0.95,15.66,12.63,10.8,8.94,3.74,6.98,10.28,1,6.21,,,,
December,,,11.32,4.34,15.28,9.34,4.84,1.53,7.4,16.12,7.77,12.73,14.38,1.62,10.79,3.52,14.3,2.36,10.36,3.32,11.63,8.29,13.95,3.02,8.5,,,,,,
Total,,,64.48,81.3,68.79,64.72,76.02,69.08,86.9,74.58,78.03,76.03,85.82,54.8,88.63,77.53,63.45,52.43,107.62,64.65,63.8,53.6,70.71,92.48,77.89,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945/6 Deletions due to estimations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
