TOP OF LOUGHRIGG - monthly,,,,,,,,,,,,,,,,,,,,
Grid ref,NY347052,Long,-3.0082865,Lat,54.437998,Elevation,1050,ft,,,,,,,,,,,,
Station no,RR3059,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,7.5,13,6.5,6.25,17.5,,,,,,,
February,,,,,,,,,6.5,8.75,7.5,10.5,,,,,,,,
March,,,,,,,,,8.75,1,4.25,6,6.5,,,,,,,
April,,,,,,,,7.5,5,4,2.5,4.75,2.5,,,,,,,
May,,,,,,,,3,3.5,2.75,6.75,1.75,,,,,,,,
June,,,,,,,,1.75,1.25,2.25,2,2.75,,,,,,,,
July,,,,,,,,4.75,0.5,3.25,2.25,,,,,,,,,
August,,,,,,,,5.25,8.5,2.5,2.5,5.75,,,,,,,,
September,,,,,,,,6.75,3.25,13.25,6.25,3.5,,,,,,,,
October,,,,,,,,9,11.5,4.25,14,9,,,,,,,,
November,,,,,,,,1.5,4.25,7,5.75,3.25,,,,,,,,
December,,,,,,,,4,17.5,12,2.5,10.25,,,,,,,,
Total,,,,,,,,,78,74,62.75,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
TYRain_1677-1886_B_pt1-page-039.csv,,,,,,,,,,,,,,,,,,,,
TYRain_1677-1886_B_pt1-page-040.csv,,,,,,,,,,,,,,,,,,,,
