NOTTINGHAM-CROMWELL-STREET,,,,,,,,,,,,,,,,,,,,
Grid ref,SK564403,Long,-1.1618889,Lat,52.957116,Elevation,191,ft,,,,,,,,,,,,
Station no,RR7216,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,0.54,2.06,1.89,2.53,1.77,2.65,1.77,0.62,1.36,2.76,,,,,,,,,
February,,4.05,1.83,2.53,1.56,2.35,0.29,0.4,1.25,1.67,0.65,,,,,,,,,
March,,1.67,1.47,1,1.21,0.93,2.32,1.53,1.95,3.46,1.23,,,,,,,,,
April,,0.9,2.8,2.17,1.91,1.37,1.47,1.08,1.69,2.6,0.42,,,,,,,,,
May,,1.19,2.39,1.58,0.84,1.31,5.05,1.46,0.52,3.76,1.99,,,,,,,,,
June,,1.89,4.02,4.24,1.13,2.65,0.99,0.54,1.48,0.41,1.28,,,,,,,,,
July,,1.79,3.42,2.5,4.2,0.35,4.11,0.8,4.16,3.24,2.77,,,,,,,,,
August,,4.82,1.51,1.73,1.82,2.07,2.98,1.45,2.32,2.79,2.56,,,,,,,,,
September,,1.7,2.47,4.82,1.1,3.58,1.15,2.06,1.28,2.23,1.38,,,,,,,,,
October,,2.93,5,1.83,0.64,5.5,4.68,1.46,0.48,2.73,0.99,,,,,,,,,
November,,2.68,3.06,3.35,0.96,2.35,1.29,1.23,3.1,0.72,2.52,,,,,,,,,
December,,2.11,4.42,1.06,1.83,0.59,2.9,1.44,1.55,2.04,0.67,,,,,,,,,
Total,,26.27,34.45,28.7,19.73,24.82,29.88,15.22,20.4,27.01,19.22,,,,,,,,,
