ST-AUSTELL-TREVARRICK,,,,,,,,,,,,,,,,,,,,
Grid ref,SX006526,Long,-4.8027,Lat,50.33962,Elevation,170,ft,,,,,,,,,,,,
Station no,RR6353,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,7.61,7.47,6.74,3.73,5.49,9.95,6.31,5.6,9.08,1.42,,,
February,,,,,,,,4.53,2.83,4.99,3.74,2.98,8.5,5.73,4.34,1.85,5.07,,,
March,,,,,,,,5.65,3.06,4.14,2.85,1.89,4.72,5.02,1.85,1.55,5.44,,,
April,,,,,,,,3.92,3.73,2.07,0.24,5.7,4.41,0.69,2.67,2.49,3.82,,,
May,,,,,,,,3.9,2.31,6.39,2.74,0.45,2.95,2.58,1.24,3.19,0.24,,,
June,,,,,,,,1.35,0.81,0.64,0.31,2.59,3.4,2.36,1.85,3.67,1.49,,,
July,,,,,,,,5.14,1.38,0.77,1.96,6.07,2.89,3.96,1.73,3.47,1.24,,,
August,,,,,,,,1.09,3.44,0.87,3.07,3.65,2.09,5.32,4.39,2.8,4.88,,,
September,,,,,,,8.37,1.95,4.52,5.09,1.96,7.71,4.26,2.96,7.16,7.28,6.23,,,
October,,,,,,,3.1,7.53,5.88,3.55,6.62,5.67,7.03,3.42,4.91,9.33,4.7,,,
November,,,,,,,4,0.65,5.99,4.8,4.48,2.79,8.11,4.86,5.42,7.96,6.15,,,
December,,,,,,,5.59,5.11,9.34,4.81,3.61,3.88,7.83,1.18,9.65,2.46,12.33,,,
Total,,,,,,,,48.43,50.76,44.86,35.31,48.87,66.14,44.39,50.81,55.13,53.01,,,
,,,,,,,,,,,,,,,,,,,,
1875 Gauge somewhat sheltered,,,,,,,,,,,,,,,,,,,,
1876 Gauge sot much sheltered that observations were discontinued,,,,,,,,,,,,,,,,,,,,
