CALF OF MAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SC149655,Long,-4.8289,Lat,54.0526,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878
January,,,,,,1.11,0.63,2.05,1.47,0.9,0.66,1.58,1.16,0.8,3.65,2.97,1.47,1.55,0.9,1.13,1.44,0.7,2.35,1.95,2.42,2.74,3.64,3.28,2.65,2.53,0.38,5.41,2.43,2.61,2.39,0.17,1.26,6.97,2.19,2.41,8.19,4.23,5.14,3.85,2.22,2.02,2.93,3.85,3.56,5.04,3.65,2.6,3.42,2.7,2.1,4.96,,,
February,,,,,,0.75,2.35,0.41,1.54,0.93,1.24,2.9,0.75,4.14,2.15,1.48,1.23,3.58,0.97,1.38,1.45,1.9,2.03,1.14,2.99,0.95,1.09,0.82,2.99,0.99,1.49,0.89,3.21,2,0.98,1.12,1.37,2.13,1.84,4.55,2.67,3.23,1.22,0.65,1.22,2.11,2.04,0.89,1.62,2.76,1.65,3.8,3.75,0.65,1.1,0.46,,,
March,,,,,,1.19,0.81,2.62,1.25,0.43,1.32,2.97,1.7,1.82,1.09,1.7,1.34,0.76,3.07,1.72,0.15,1.78,2.32,1.05,1.38,0.79,1.78,0.81,2.18,0.8,0.71,3.08,0.98,1.28,0.66,1.49,1.05,3.16,1.18,3.3,2.3,3.31,4.35,1.09,4.44,1.01,1.69,1.53,2.36,0.75,1.9,1.8,3.45,2.35,0.45,2.08,,,
April,,,,,,0.57,1.33,1.36,2.2,2.84,2.07,1.57,0.81,0.67,1.43,1.14,1.12,1.51,1.87,0.76,0.5,1.12,0.44,2.89,1.09,1.07,2.74,1.59,1.62,2.18,2.93,1.33,0.79,1.31,0.27,0.27,1.98,5,2.06,2.88,0.91,1.2,4.98,2.04,2.21,0.53,0.63,1.54,2.1,2,1,2.8,2.4,0.25,0.6,0.1,,,
May,,,,,,1.19,0.45,0.87,1.15,0.78,2.86,0.24,1.11,1.33,0.63,2.82,0.04,1.2,1.35,0.9,1.54,2.7,2.01,2.55,0.32,0.97,0.61,1.98,0.46,1.37,0.99,1.55,2.01,0.58,0.6,1.25,4.17,2.59,2.44,0.4,2.36,0.8,2.99,1.69,1.08,2.91,0.63,1.15,1.23,,0.65,0.53,1.21,1.25,0.6,0.99,,,
June,,,,,,0.65,0.1,1.23,0.63,0.78,2.8,2.21,1.79,3.03,2.37,0.75,1.61,1.89,2.26,1.33,1.72,1.85,1.65,2.62,1.2,3.46,1.84,1.88,3.02,0.6,1.5,2.31,1.76,1.55,2.34,1.7,2.07,2.06,2.95,1.84,4.75,3.02,4.48,1.95,1.86,0.85,2.59,0.36,,0.75,0.82,1.15,2.74,0.2,0,1.1,,,
July,,,,,,0.18,1.04,1.25,1.92,2.84,2.09,1.69,0.49,1.6,4.19,1.98,2.63,3.09,1.78,4.35,1.88,2.77,2.95,2.43,2.39,2.15,2.67,0.6,1.83,1.72,2.67,1.55,2.13,2.01,0.93,1.47,0.98,1.36,3.92,1.76,0.65,4.45,4.64,0.66,0.75,1.54,1.68,3.13,,1.15,0.55,2.07,2.18,0.45,0.95,1.13,,,
August,,,,,,1.99,1.85,3.68,1.7,4.76,2.01,0.84,2.94,1.18,2.99,1.03,2.39,1.4,2.8,1.62,3.55,1.85,0.98,2.12,1.86,2.55,3.21,1.4,2.28,3.23,0.63,1.55,1.86,1.17,0.76,0.22,3.64,3.18,1.55,0.28,3.89,4.34,2.98,3.52,0.81,2.18,2.28,1.97,1.63,0.2,0.7,1.73,1.55,1.85,2.55,0.86,,,
September,,,,,,1.87,0.62,1.28,1.03,1.65,3.54,3.85,0.56,2.77,2.27,1.75,3.55,1.53,0.97,4.24,3.8,2.14,2.35,0.74,2.5,1.55,2.79,1.84,1.52,1.91,1.29,0.75,1.48,1.21,1.19,0.31,5.15,1.91,1.89,1.46,0.51,5.25,1.24,2.75,2.46,0.36,2.26,1.64,0.78,4.1,1.7,2.7,3.85,0.7,1.3,1.25,,,
October,,,,,,3.58,1.65,1.62,1.99,3.22,2.16,3.08,2.61,1.27,2.25,3.13,1.87,1.62,2.11,3.21,1.86,4.63,1.19,5.48,1.68,3.59,4.96,2.96,3.77,1.3,1.92,1.67,3.25,3,4.47,0.83,3.89,4.04,4.01,2.43,6.38,3.18,4.1,5.2,2.99,2.85,1.43,2.77,,1.92,4.3,5.1,4.8,3.25,3.45,7.15,,,
November,,,,,,4.04,2.44,2.31,2.66,1.71,4.35,3.24,3.82,3.08,1.82,4.16,2.41,1.43,3.68,3.11,3.76,2.48,3.93,3.94,1.94,4.35,2.28,2.44,3.19,1.82,2.35,2.73,5.22,2.57,2.09,1.1,2.4,3.16,2.04,3.18,2.44,5.55,2.46,2.67,2.89,3.17,3.26,0.82,1.95,2.32,2.25,2.3,4.1,1.4,5.99,3.3,,,
December,,,,,,1.93,2.66,3.06,2.32,1.34,2.51,3.05,2.26,3.37,1.24,1.71,2.56,3.53,1.47,2.77,1.19,3.16,0.8,0.79,0.71,2.39,2.03,3.32,1.29,1,1.38,0.74,5.03,1.1,1.84,0.89,5.38,1.78,3.63,2.08,2.3,4.68,3.91,1.8,2.14,2.76,2.22,2.27,3.72,2.85,1.55,2.65,4.55,1,4.7,0.73,,,
Total,,,,,,19.05,15.93,21.74,19.86,22.18,27.61,27.22,20,25.06,26.08,24.62,22.22,23.09,23.23,26.52,22.84,27.08,23,27.7,20.48,26.56,29.64,22.92,26.8,19.45,18.24,23.56,30.15,20.39,18.52,10.82,33.34,37.34,29.7,26.57,37.35,43.24,42.49,27.87,25.07,22.29,23.64,21.92,,,20.72,29.23,38,16.05,23.79,24.11,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1876 Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
