GOREY COURTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IT1954257238,Long,-6.234025,Lat,52.653444,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,
January,,,,,3.07,,4.41,3.76,4.33,6,3.86,4.08,5.63,5.15,2.79,7.55,1.79,5.73,2.03,4.09,0.88,1.67,3.37,5.84,4.16,3.67,4.22,3.71,3.49,2.34,4.28,1.54,0.91,3.58,3.94,5.04,1.02,2.93,3.12,4.48,2.86,3.91,1.29,5.16,3.82,1.2,4.17,0.42,1.86,1.43,2.07,1.25,5.57,7.5,1.09,2.4,1.47,1.84,4.29,4.52,4.71,2.68,3.76,1.36,7.71,4.24,8.24,3.23,5.02,2.82,5.44,2.54,4.05,2.9,3.71,0.8,7.44,7.65,3.72,4.81,5.37,,,,,,,,,,,,,,,,,,,
February,,,,,1.28,,2.27,2.78,2.26,1.94,3.86,2.64,4.98,2.04,3.39,2.21,5.32,2.11,2.75,5.13,3.29,4.04,2.27,6.15,6.91,5.17,3.61,0.72,0.83,2.32,1.14,0.24,3.39,3.16,1.82,0.26,1.88,1.98,1.2,3.67,7.29,1.84,2.41,2.38,4.28,1.01,2.58,1.42,0.98,0.75,3.16,2,5.04,2.05,5.24,5.21,4.67,1.07,3.5,3.53,1.61,1.11,2.01,6.33,0.84,4.07,3.05,2.69,2.95,6.17,1.17,2.3,0.17,5.09,0.44,3.07,3.75,5.17,1.59,4.39,4.53,,,,,,,,,,,,,,,,,,,
March,,,,,3.24,,4.51,5.41,2.36,2.18,3.54,1.34,5.19,3.12,0.9,1.12,2.31,2.38,0.94,1.97,5.08,2.84,2.64,2.41,3.55,2.13,2.88,1.85,2.66,1.08,2.84,1.05,1.17,0.44,1.31,2.86,2.22,4.59,1.1,0.89,0.75,1.79,1.76,4.79,3.01,4.48,1.86,0.83,3.24,3.04,2.12,1.39,4.26,2.32,3.74,0.97,3.44,2.6,1.97,2.48,4.29,3.16,2.09,2.86,0.96,0.44,0.63,5.13,8.56,0.59,5.3,4.21,1.88,3.02,3.72,1.16,3.8,6.12,0.87,2.41,2.62,,,,,,,,,,,,,,,,,,,
April,,,,,0.62,0.93,2.92,2.84,2.44,1.38,0.81,4.2,2.71,1.02,2.05,1.28,2.56,5.28,3.35,2.84,2.83,1.28,3.86,2.76,1.88,3.89,2.07,1.01,1.71,1.93,1.57,1.89,1.16,0.44,3.75,2.12,0.41,4.19,4.07,2.26,1.53,2.64,2.84,1.08,1.22,3.18,1.38,2.39,2.11,4.14,2.74,2.23,1.8,3.09,1.09,0.86,2,1,1.83,1.43,3.34,0.56,3.29,3.5,2.58,2.66,1.86,1.87,2.44,0.79,2.73,2.8,3.1,1.47,3.02,3.1,2.24,3.64,0.03,1.84,3.48,,,,,,,,,,,,,,,,,,,
May,,,,,1.34,5.08,1.7,5.46,1.98,4.99,2.81,0.53,1.88,1.23,1.44,1.95,0.42,3.05,4.43,1.73,1.08,2.05,2.51,3.29,2.36,1.99,4.64,0.95,2.13,3.07,3.29,3.08,2.51,1.02,3.05,0.15,0.15,1.18,3.42,2.87,2.84,1.08,2.23,2.42,1.99,1.09,2.74,4.18,1.93,1.56,1.27,1.37,1.21,3.35,1.97,2.56,3.61,3.62,2.14,1.82,3.13,1.83,1.24,1.47,3.47,4.89,2.91,1.52,1.15,3.32,2.81,4.89,5.52,2.95,2.44,0.88,1.33,1.08,2.68,1.51,0.71,,,,,,,,,,,,,,,,,,,
June,,,,,2.26,0.77,2.44,0.89,0.95,0.78,0.44,2.52,3.33,1.7,1.7,2.33,1.28,1.73,5,7.91,2.62,3.45,2.42,4.02,0.51,0.95,1.18,0.19,4.5,0.26,2.73,2.88,2.8,1.6,2.7,3.35,1.45,2.67,2.64,2.45,3.09,2.71,3.3,4.06,2.01,1.46,1.65,4.04,2.13,2.7,4.66,1.43,5.01,1.34,1.13,1.48,2.3,2.37,1.29,1.58,1.54,0.74,1.13,0.96,2.71,0.22,2.7,3.42,5.57,2.26,1.46,2.6,1.36,2.93,2.03,5.34,2.16,1.44,3.54,2.02,0.75,,,,,,,,,,,,,,,,,,,
July,,,,,0.5,2.73,1.14,3.26,0.97,0.93,0.47,4.05,1.97,3.32,2.05,4.33,1.99,2.68,0.64,3.13,3.41,3.2,5.04,2.42,2.08,1.01,3.99,1.68,6.82,2.57,1.7,1.87,3.9,2.1,3.93,2.86,5.07,1.69,1.77,3.77,2.89,1.38,2.86,4.17,2.56,2.02,1.07,3.23,3.47,4.07,1.99,2.31,5.6,0.32,3.01,4.63,1,2.63,2.67,1.08,5.56,3.97,3.21,2.37,4.59,2.02,3.84,2.68,1.29,2.83,2.99,3.96,3.96,2.3,1.7,0.91,5.89,2.52,5.76,5.31,2.59,,,,,,,,,,,,,,,,,,,
August,,,,,,4.52,2.91,2.34,4.36,0.76,2.47,3.33,3.34,4,3.91,1.86,2.54,4.53,4.69,5.06,2.58,3.79,2.41,3.15,0.42,2.98,2.3,2.36,2.5,3.85,2.61,5.57,4.65,4.05,4.03,4.92,0.81,4.99,4.01,2.02,4.52,3.35,2.75,4.22,2.77,5.57,1.99,2.42,3.96,1.4,6.39,2.34,6.05,0.97,3.75,2.68,2.14,8.87,2.66,2.91,2.97,5.08,6.71,4.54,2.8,2.49,2.34,4.82,6.18,2.65,4.5,2.52,2.51,1.01,2.85,1.62,0.66,1.47,2.27,1.88,0.09,,,,,,,,,,,,,,,,,,,
September,,,,,,0.3,4.47,2.03,5.31,6.88,1.85,3.39,3.69,2.06,2.07,5.52,5.23,2.7,2.06,3.9,3.84,1.24,3.8,5.58,1.55,4.54,3.97,2.5,0.6,1.6,2.1,3.1,3.47,0.7,0.83,1.48,5.54,2.5,2.01,1.94,0.87,4.51,3.16,2.32,3.81,1.72,0.82,1.39,4.71,1.7,0.98,3.54,0.37,4.09,1.68,1.62,2.67,1.51,8.01,2.68,1.06,1.01,3.11,2.34,6.08,2.94,1.03,2.37,0.75,1.29,5.38,4.7,1.87,1.37,5.08,5.06,3.33,3.79,2.51,2.74,1.56,,,,,,,,,,,,,,,,,,,
October,,,,,,3.94,2.8,2.57,2,1.05,5.11,4.04,5.17,3.21,4.62,8.72,5.39,4.17,2.27,1.46,7.31,1.75,5.68,2.92,0.81,4.35,6.59,1.58,2.4,6.32,1.51,6.24,3.11,2.5,6,2.6,3.29,2.83,4.06,2.08,3.79,3.45,2.64,3.93,1.23,0.86,4.78,6.24,3.33,5.02,3.24,4.45,2.88,3.43,2.3,5.81,7.4,2.57,4.01,1.51,8.33,3.67,0.98,4.37,2.97,4.97,4.39,3.85,5.82,3.37,5.36,1.25,3.62,3.93,4.19,3.23,1.49,2.49,4.53,3.15,7.9,,,,,,,,,,,,,,,,,,,
