STRATHDON (TORNASHEAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ349121,Long,-3.078917,Lat,57.195051,Elevation,1000,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5644/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.36,2.17,4.95,6.61,3.26,4.17,1.05,4.94,3.12,2.81,2.31,5.36,1.19,2.14,2.87,2.12,1.75,3.63,2.22,1.65,2.43,1.1,3.11,2.78,2.44,,
February,,,,1.03,2.39,3.03,2.86,1.38,2.23,0.82,2.96,2.1,2.15,2.96,1.04,3.54,2.75,2.04,1.34,2.86,4.45,1.89,1.3,2.83,4.33,2.67,1.86,4.65,,
March,,,,2.48,1.91,1.18,4.55,0.65,3.42,2.34,1.64,1.39,1.22,1.9,0.7,2.89,3.61,0.88,1.86,1.82,2.99,2.66,0.4,2.34,1.65,3.09,2.09,3.99,,
April,,,,4.68,4.53,1.22,1.03,0.88,1.66,1.96,1.82,1.99,2.26,1.62,2.04,1.07,3.67,1.97,2.15,4.15,3.32,1.37,2.74,1.12,0.7,2.1,1.21,2.21,,
May,,,,2.92,1.98,1.84,1.83,2.78,1.09,1.83,2.33,2.73,3.22,3.05,3.7,2.65,4.24,3.24,1.87,2.22,1.81,2.36,2.43,5.48,3.63,0.87,3.48,3.93,,
June,,,,1.39,3.8,1.55,1.41,4.18,2.14,0.99,0.5,1.86,1.6,3.41,2,2.16,2.66,5.89,1.36,1.15,1.36,2.71,4.31,2.18,1.09,2.6,2.88,2.65,,
July,,,,3.66,1.44,3.36,3.18,3.62,5.98,7.34,3.39,2.67,1.89,2.8,1.86,5.56,3.19,2.48,2.6,3.44,3.42,1.57,4.34,2.25,1.44,5.51,7.15,5.2,,
August,,,,4.39,1.51,1.55,1.81,2.07,2.3,2.7,4.36,1.87,4.24,2.22,3.36,3.53,0.21,6.18,4.39,2.86,4.35,4.28,2.16,3.21,0.76,6.41,5.34,3.44,,
September,,,,1.57,4.36,2.42,0.81,3.38,3.29,2.38,1.23,3.74,3.56,4.99,3.89,5.3,3.15,1.77,1.69,5.91,1.04,2.75,3.62,2.24,2.01,4.52,3.94,3.89,,
October,,,,5.12,5.13,2.47,2.73,3.77,8.03,4.51,5.98,5.49,2.89,5.01,4.62,0.28,2.32,2.99,2.39,0.94,1.34,4.74,0.92,5.35,5.14,3.73,1.44,2.78,,
November,,,,2.93,4.74,2.89,1.58,2.61,4.14,7.61,5.15,0.97,5.21,4.23,1.5,5.87,3.35,0.94,2.22,4.74,9.2,4.53,2.03,5.29,1.72,1.19,2.95,0.85,,
December,,,,5.03,3.05,2.52,4.59,2.74,2.17,3.03,2,2.07,0.59,3.28,8.03,2.96,1.74,3.46,3.07,2.25,1.8,5.14,3.71,5.03,6.37,4.62,3.72,4.11,,
Total,,,,36.56,37.01,28.98,32.99,31.32,40.62,36.56,36.3,30,31.64,37.78,38.1,37,33.03,34.71,27.06,34.09,38.71,36.22,29.61,39.75,29.94,40.42,38.84,40.14,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5644/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,14897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,837055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
