"CAUSEWAY SIDE (BURNLEY W.W.)",,,,,,,,,,,,
Grid ref,SD890292,Long,-2.168325,Lat,53.759039,,,,,,,
Station no,2957/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.68,6.73,2.78,5.77,3.12,6.52,5.16,6.09,3.61,6.40,,
February,5.41,2.36,4.10,4.20,3.14,2.03,4.80,7.67,0.77,5.76,,
March,6.51,2.90,2.47,3.41,3.16,2.18,4.67,2.78,2.31,1.88,,
April,3.72,3.89,4.23,0.86,2.62,4.25,0.40,1.72,4.28,3.73,,
May,2.87,2.38,3.22,4.66,4.96,2.10,2.05,5.71,2.47,2.35,,
June,1.66,4.12,3.44,3.47,3.40,3.50,2.26,4.87,3.94,1.47,,
July,4.96,3.25,6.33,6.00,1.58,5.72,6.04,4.17,3.71,8.02,,
August,5.90,7.68,6.22,8.55,1.67,12.66,7.12,3.95,0.90,6.00,,
September,3.89,5.58,5.48,6.21,3.42,4.71,6.72,6.16,0.28,3.55,,
October,1.76,6.15,2.34,8.80,3.62,2.98,6.78,4.24,6.25,6.42,,
November,12.60,3.25,6.67,9.03,3.61,2.15,2.95,1.84,6.45,9.17,,
December,10.92,5.49,2.21,8.70,6.64,7.25,6.71,5.82,9.99,5.87,,
Total,65.88,53.78,49.49,69.66,40.94,56.05,55.66,55.02,44.96,60.62,,
Calc annual,65.88,53.78,49.49,69.66,40.94,56.05,55.66,55.02,44.96,60.62,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,,
