"EDINBURGH WW (THE RIG)",,,,,,,,,,,,
Grid ref,NT090221,Long,-3.441534,Lat,55.484207,,,,,,,
Station no,5071/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.20,5.20,2.20,3.34,3.90,2.70,7.00,5.80,2.30,4.10,,
February,3.80,1.30,1.80,4.02,2.08,1.50,4.00,3.30,1.50,6.50,,
March,3.30,3.50,0.70,3.34,2.72,2.30,3.80,1.40,3.80,2.00,,
April,4.00,3.30,3.42,1.00,1.98,0.90,2.60,1.98,5.10,5.00,,
May,2.40,2.60,3.60,6.20,3.30,2.30,2.10,3.50,2.30,3.20,,
June,1.80,3.80,2.20,3.60,2.30,3.20,2.00,3.30,2.90,2.40,,
July,3.20,2.80,7.50,4.30,1.70,4.60,3.90,4.60,5.80,2.50,,
August,7.70,3.70,3.00,5.60,2.40,8.10,5.10,4.50,1.20,4.30,,
September,4.70,2.10,5.10,7.10,3.80,4.70,2.90,4.90,1.30,3.50,,
October,0.70,6.10,4.10,10.00,3.70,3.60,5.30,3.60,6.50,4.50,,
November,11.50,3.70,6.00,10.20,3.20,2.10,1.80,1.00,11.10,8.70,,
December,9.00,4.80,4.20,5.60,5.80,6.60,5.80,5.30,7.90,5.80,,
Total,56.30,42.90,43.82,64.30,36.88,42.60,46.30,43.18,51.70,52.50,,
Calc annual,56.30,42.90,43.82,64.30,36.88,42.60,46.30,43.18,51.70,52.50,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
