"ARNFIELD MOOR",,,,,,,,,,,,
Grid ref,SK033996,Long,-1.951729,Lat,53.493097,,,,,,,
Station no,2754/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.55,5.65,3.43,5.85,3.15,6.15,4.32,4.40,4.12,7.96,,
February,3.45,2.59,3.02,3.10,2.23,2.18,3.32,6.50,0.85,2.69,,
March,5.85,3.60,3.15,3.50,2.65,1.82,4.70,3.05,2.20,1.12,,
April,3.28,4.10,3.47,1.65,2.92,3.26,1.15,1.80,4.25,2.76,,
May,2.58,2.80,2.79,4.70,4.11,1.99,1.27,3.80,1.33,2.45,,
June,1.51,3.83,5.10,4.48,3.40,4.70,2.66,5.68,2.83,2.00,,
July,4.37,4.42,8.77,8.70,1.50,7.79,6.21,5.76,4.25,9.03,,
August,-999.00,3.90,6.58,9.36,0.88,12.74,7.85,5.86,-999.00,4.93,,
September,3.15,5.60,3.72,6.57,3.03,5.07,9.37,5.12,0.35,4.32,,
October,1.30,5.12,2.38,9.68,3.11,3.96,6.70,5.25,3.75,5.45,,
November,8.70,4.52,5.03,5.97,2.12,3.10,3.00,1.90,4.68,6.03,,
December,6.75,4.73,3.05,8.94,6.31,5.69,6.20,4.25,5.87,4.95,,
Total,54.84,50.86,50.49,72.50,35.41,58.45,56.75,53.37,34.98,53.69,,
Calc annual,47.49,50.86,50.49,72.50,35.41,58.45,56.75,53.37,34.48,53.69,,
Difference,7.35,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.50,-0.00,,
