ARNFIELD-MOOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK033996,Long,-1.9517289,Lat,53.493097,Elevation,1290,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2754/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,3.75,4.02,3.94,4.85,5.59,6.02,2.05,2.34,4.06,5.21,8.24,6.16,6.21,3.32,11.49,3.11,4.89,6.55,5.65,3.43,5.85,3.15,6.15,4.32,4.4,4.12,7.96
February,,,,0.44,6.8,3.23,8,2.42,4.81,3.28,5.92,3.21,4.09,4.13,6.08,8.8,1.6,3.1,2.63,5.32,3.45,2.59,3.02,3.1,2.23,2.18,3.32,6.5,0.85,2.69
March,,,,3.95,3.1,3.35,3.55,2.33,3.65,3.98,6.47,2.75,2.35,1.34,2.17,1.9,6,1.62,2.44,2.58,5.85,3.6,3.15,3.5,2.65,1.82,4.7,3.05,2.2,1.12
April,,,,3,3.44,2,4.77,0.78,3.43,3.34,3.45,2.02,3.41,3.53,2.91,2.88,4.35,2.17,5.43,4.77,3.28,4.1,3.47,1.65,2.92,3.26,1.15,1.8,4.25,2.76
May,,,,3.24,0.86,1.6,2.89,4.45,3.33,1.29,3.33,3.51,2.71,7.35,4.2,1.87,3.7,1.53,3.25,2.16,2.58,2.8,2.79,4.7,4.11,1.99,1.27,3.8,1.33,2.45
June,,,,2.74,4.15,3.76,2.7,5.59,3.43,1.02,2.3,1.65,5.21,4.17,6.35,4.76,2.9,5.92,1.25,4.15,1.51,3.83,5.1,4.48,3.4,4.7,2.66,5.68,2.83,2
July,,,,5.31,2.8,5.6,4.15,5.55,7.82,6.33,3.03,7.18,2.97,4.6,1.71,8.27,3.6,3.56,3.07,4.21,4.37,4.42,8.77,8.7,1.5,7.79,6.21,5.76,4.25,9.03
August,,,,4.18,2.21,4.15,1.68,3.59,2.96,3.84,6.4,5.5,7.98,4.95,4.18,5.8,0.45,5.88,3.85,5.35,7.35,3.9,6.58,9.36,0.88,12.74,7.85,5.86,0.5,4.93
September,,,,3.83,6.91,7.78,2,2.59,1.9,4.97,0.9,3.96,5.62,6.93,3.38,7.3,2.72,3.2,1.83,-999,3.15,5.6,3.72,6.57,3.03,5.07,9.37,5.12,0.35,4.32
October,,,,7.37,10.16,7.2,2.31,9.85,3.4,4.21,7.62,9.25,3.35,4.79,7.33,1.3,1.33,4.14,3.9,-999,,5.12,2.38,9.68,3.11,3.96,6.7,5.25,3.75,5.45
November,,,,3.15,6.04,7.17,2.47,5.41,8.27,8.37,3.78,1.58,5.03,8.6,1.02,8,7.54,3.25,7.19,8.35,8.7,4.52,5.03,5.97,2.12,3.1,3,1.9,4.68,6.03
December,,,,5.35,3.84,4.75,4.59,5.06,4.8,6.44,4.23,4.88,2.73,4.43,3.03,4.77,7.7,3.62,8.08,3.15,6.75,4.73,3.05,8.94,6.31,5.69,6.2,4.25,5.87,4.95
Total,,,,46.31,54.33,54.53,43.96,53.21,53.82,49.12,49.77,49.55,50.66,63.06,48.52,61.86,45.21,49.48,46.03,56.55,,50.86,50.49,72.5,35.41,58.45,56.75,53.37,34.98,53.69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 11910 ARNFIELD MOOR Start 1934 end 1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is on the edge of Arnfield Moor. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
