HOLBEACH - WILLOW TREE FARM,,,,,,,,,,,
Grid ref,TF380327,Long,0.049,Lat,52.874,Elevation,10,ft,,,
Station no,2531/5,,,,,,,,,,
,,,,,,,,,,,
,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955
January,,1.05,1.10,3.68,1.12,0.81,2.43,1.58,0.99,1.04,1.97
February,,1.94,0.72,0.63,0.52,3.14,2.79,0.35,1.32,2.06,2.06
March,,0.67,4.67,0.29,0.85,0.58,2.93,2.64,0.70,1.65,1.76
April,1.04,0.98,1.40,1.87,1.94,1.50,2.44,1.39,1.81,0.18,0.74
May,1.20,0.91,0.32,3.21,2.08,3.04,2.61,2.13,2.37,2.44,2.31
June,1.99,1.31,2.59,2.63,0.71,2.14,0.96,1.32,2.89,2.61,2.07
July,1.25,2.15,1.18,1.66,1.63,2.64,1.31,0.48,1.57,2.41,
August,2.82,2.80,0.00,3.61,2.33,1.81,3.50,1.68,3.00,3.51,
September,1.99,1.99,0.69,1.91,1.13,3.01,1.87,2.32,1.13,1.99,
October,2.15,2.35,0.11,1.85,2.88,1.02,0.86,1.84,1.94,2.30,
November,1.23,3.50,0.85,1.21,2.48,3.57,3.04,2.84,1.51,3.88,
December,2.22,1.71,1.84,2.14,1.19,0.95,0.93,1.63,0.98,2.43,
Total,,21.36,15.47,24.69,18.86,24.21,25.67,20.20,20.21,26.50,
,,,,,,,,,,,
TYRain_1941-1950_17_pt1/172,,,,,,,,,,,
TYRain_1951-1960_15_pt1/174,,,,,,,,,,,
,,,,,,,,,,,
"# The gauge came from Bingham Lodge at the start of April 1945, and moved back there at the start of July 1955.",,,,,,,,,,,
