"STROOD (WATERWORKS)",,,,,,,,,,,,
Grid ref,TQ729693,Long,0.483976,Lat,51.396388,,,,,,,
Station no,373,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.34,1.77,0.81,1.44,2.92,4.22,1.12,2.17,2.17,2.63,,
February,5.83,0.95,1.28,1.79,2.08,0.53,3.04,1.96,0.04,1.96,,
March,3.11,2.79,0.24,2.24,1.00,0.61,1.03,1.31,1.92,1.43,,
April,2.47,0.99,2.09,0.50,0.18,1.12,0.22,1.68,2.24,0.49,,
May,2.09,0.89,1.73,1.85,3.78,0.40,1.17,1.66,0.62,2.43,,
June,1.30,1.26,1.66,3.82,2.28,2.47,0.99,4.24,0.63,1.41,,
July,2.64,0.69,3.91,2.16,0.32,3.24,2.63,2.21,1.14,2.59,,
August,2.97,2.44,1.29,2.94,1.01,2.60,2.39,3.70,0.87,3.85,,
September,3.76,3.37,2.72,1.41,2.43,1.79,2.69,3.45,0.11,3.80,,
October,0.83,1.96,2.20,1.80,3.84,1.09,1.18,3.14,2.37,5.52,,
November,3.48,4.55,0.82,4.17,0.76,0.57,2.73,1.60,3.58,3.72,,
December,2.09,2.20,0.76,1.49,1.58,2.46,1.98,3.20,4.48,2.55,,
Total,32.91,23.86,19.51,25.61,22.18,21.10,21.17,30.32,20.17,32.38,,
Calc annual,32.91,23.86,19.51,25.61,22.18,21.10,21.17,30.32,20.17,32.38,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
