"NORTHAMPTON (HARDINGSTONE G. STN)",,,,,,,,,,,,
Grid ref,SP762598,Long,-0.885710,Lat,52.231135,,,,,,,
Station no,1105/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.11,1.53,1.18,0.83,1.63,3.05,1.23,2.60,3.55,2.95,,
February,2.97,0.49,1.59,2.13,1.23,0.28,2.05,3.25,0.01,1.82,,
March,2.93,2.21,1.00,2.51,1.90,0.53,1.84,2.13,3.05,1.40,,
April,2.85,2.02,1.95,0.31,0.72,0.62,0.27,0.70,2.20,0.52,,
May,2.27,2.71,1.02,3.29,4.01,0.30,1.42,1.91,0.35,1.31,,
June,0.66,0.83,1.80,2.14,2.85,3.20,2.27,4.19,0.82,3.44,,
July,0.79,0.25,2.81,2.81,0.19,4.49,2.60,2.22,2.00,3.69,,
August,3.43,3.47,2.58,3.13,0.30,4.53,1.98,2.75,0.77,3.07,,
September,1.59,2.26,1.40,2.39,1.41,1.71,4.27,2.38,0.03,3.55,,
October,0.61,2.66,1.92,2.02,1.64,1.14,1.37,1.69,1.51,6.19,,
November,4.79,2.15,1.58,4.89,1.41,0.58,1.41,1.81,1.77,2.97,,
December,1.54,2.32,0.59,2.09,1.61,2.61,2.38,2.38,4.00,3.03,,
Total,26.54,22.90,19.42,28.54,18.90,23.04,23.09,28.01,20.06,33.94,,
Calc annual,26.54,22.90,19.42,28.54,18.90,23.04,23.09,28.01,20.06,33.94,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
