NORTHAMPTON-HARDINGSTONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP762598,Long,-0.88571,Lat,52.231135,Elevation,189,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1105/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,0.66,3.64,3.47,2.19,4.89,2.01,3.25,2.36,3.5,1.31,1.66,1.49,1.46,3.48,1.11,0.47,2.11,1.53,1.18,0.83,1.63,3.05,1.23,2.6,3.55,2.95
February,,,,,2.09,1.93,3.38,0.66,0.92,2.01,1.85,0.75,1.01,0.89,1.5,1.7,1.37,0.77,0.93,3.46,2.97,0.49,1.59,2.13,1.23,0.28,2.05,3.25,0.01,1.82
March,,,,,0.21,1.25,2.64,0.14,1.41,1.78,2.89,1.29,0.77,0.09,0.79,1.12,4.53,0.72,1.33,0.76,2.93,2.21,1,2.51,1.9,0.53,1.84,2.13,3.05,1.4
April,,,,,3.4,1.6,2.55,0.03,2.02,2.22,1.52,0.68,0.66,1.74,0.79,1.37,1.7,1.22,1.46,1.85,2.85,2.02,1.95,0.31,0.72,0.62,0.27,0.7,2.2,0.52
May,,,,,1.03,0.96,4.25,1.45,1.21,1.69,2.21,2.64,1.78,1.08,1.73,2.19,0.96,3.29,2.38,2.32,2.27,2.71,1.02,3.29,4.01,0.3,1.42,1.91,0.35,1.31
June,,,,,4.86,2.68,1.41,1.08,1.57,1.09,1.11,1.07,2.04,2.4,2.33,2.33,1.12,1.83,0.28,1.66,0.66,0.83,1.8,2.14,2.85,3.2,2.27,4.19,0.82,3.44
July,,,,,0.71,4.37,1.29,1.5,2.51,4.05,2.85,1.94,0.75,1.96,1.86,1.01,2.14,1.1,1.21,2.93,0.79,0.25,2.81,2.81,0.19,4.49,2.6,2.22,2,3.69
August,,,,,1.79,0.3,0.69,3.55,4.12,0.13,4.33,1.61,1.76,2.21,1.36,3.44,0.02,3.26,1.12,1.54,3.43,3.47,2.58,3.13,0.3,4.53,1.98,2.75,0.77,3.07
September,,,,,3.91,3.2,1.26,1.54,0.57,0.82,0.31,1.25,1.45,2.66,2.29,3.77,1.1,2.44,1.26,3.67,1.59,2.26,1.4,2.39,1.41,1.71,4.27,2.38,0.03,3.55
October,,,,,3.13,1.66,2.79,2.87,5.94,2.61,2.2,2.5,1.9,2.93,3.41,1.05,0.17,3.29,4.88,0.77,0.61,2.66,1.92,2.02,1.64,1.14,1.37,1.69,1.51,6.19
November,,,,,3.47,2.41,1.26,2.25,3.24,6.23,2.4,2.23,1.01,2.88,0.33,4.63,1.41,1.45,2.29,3.57,4.79,2.15,1.58,4.89,1.41,0.58,1.41,1.81,1.77,2.97
December,,,,,2.75,1.64,1.99,3.02,1.39,2,0.97,1.96,0.91,1.23,2.82,1.74,2.26,2.97,1.36,1.28,1.54,2.32,0.59,2.09,1.61,2.61,2.38,2.38,4,3.03
Total,,,,,28.01,25.64,26.98,20.28,29.79,26.64,25.89,20.28,17.54,21.38,20.87,25.84,18.24,25.82,19.61,24.28,26.54,22.9,19.42,28.54,18.9,23.04,23.09,28.01,20.06,33.94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
