PORTISHEAD-BRISTOL-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST472754,Long,-2.76162,Lat,51.4751,Elevation,24,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2049/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,4.13,5.69,2.52,3.48,3.19,5.42,1.91,1.74,2.69,2.25,4.88,0.73,0.89,4.1,2.33,0.83,2.2,3.72,3.34,3.44,2.9,3.56,3.45
February,,,,,,,,1.02,1.51,2.03,2.94,0.19,1.55,0.63,3.04,2.12,1.46,1.37,0.89,5.16,3.71,0.53,1.81,3.22,1.66,0.28,3.19,4.14,0.31,2.26
March,,,,,,,,0.47,1.51,2.55,2.62,1.8,1.26,0.29,1.02,0.98,6.06,1.56,1.28,1.64,3.78,2.61,1.25,3.1,1.13,0.57,3.24,1.25,2.59,2.3
April,,,,,,,,0.11,2.92,2.41,1.39,0.92,0.93,1.91,1.04,2.39,2.62,2.46,2.14,2.4,3.34,1.76,3.78,0.74,1.36,2.19,0.29,0.99,2.8,1.61
May,,,,,,,,2.38,0.96,2.82,1.66,3.47,2.41,0.91,4.7,3.53,2.3,3.94,3.09,1.57,2.63,5.32,2.07,1.57,3.87,0.71,1.23,3.09,2.51,1.3
June,,,,,,,,0.99,2.55,0.79,2.08,0.27,1.86,3.49,3.1,3.45,1.35,1.86,0.57,1.67,0.72,2.78,1.75,3.54,3.34,2.25,1.27,3.49,1.05,1.89
July,,,,,,,,3.23,4.79,6.43,2.42,2.48,1.95,1.63,2.37,2.06,2.79,1.19,2.19,4.53,1.19,0.92,3.15,4.25,0.15,2.8,3.33,1.94,3.31,3.93
August,,,,,,,,3.74,2.58,0.09,5.21,2.83,3.9,3.01,2.37,8.16,1.06,4.07,3.1,6.58,4.46,5.42,5.68,2.86,1.68,5.79,3.02,3.08,2.37,6.02
September,,,,,,,,1.9,0.67,1.12,0.65,1.97,3.82,4.7,2.47,4.45,1.25,2.88,2.98,5.15,2.83,3.52,3.15,4.85,1.52,3.77,4.25,6.89,0.15,4.53
October,,,,,,,,6.75,2.76,3.92,1.65,3.15,2.56,3.31,3.9,1.32,0.47,4.25,7.11,1.5,0.76,5.18,2.48,4.53,1.48,1.62,3.8,3.39,4.53,7.22
November,,,,,,,,4.28,5.74,6.57,1.76,1.3,2.15,5.39,0.6,4.33,3.19,1.84,2.9,5.68,6.13,4.64,2.72,5.52,3.2,1.02,2.66,2.39,3.77,5.17
December,,,,,,,,3.24,2.3,1.31,2.18,2.66,1.62,1.67,4.22,3.02,2.52,3.48,2.67,1.88,2.21,2.09,1.26,2.43,3.61,3.92,2.43,3.58,7.4,4.81
Total,,,,,,,,32.24,33.98,32.56,28.04,24.23,29.43,28.85,30.57,38.5,27.32,33.78,29.65,38.65,35.86,37.1,29.93,38.81,26.72,28.26,32.15,37.13,34.35,44.49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station renumbered 2049/7 owing to alteration of river division lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 9409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
