"PORTISHEAD (BRISTOL ROAD)",,,,,,,,,,,,
Grid ref,ST472755,Long,-2.761642,Lat,51.475983,,,,,,,
Station no,1996,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.10,2.33,0.83,2.20,3.72,3.34,3.44,2.90,3.56,3.45,,
February,3.71,0.53,1.81,3.22,1.66,0.28,3.19,4.14,0.31,2.26,,
March,3.78,2.61,1.25,3.10,1.13,0.57,3.24,1.25,2.59,2.30,,
April,3.34,1.76,3.78,0.74,1.36,2.19,0.29,0.99,2.80,1.61,,
May,2.63,5.32,2.07,1.57,3.87,0.71,1.23,3.09,2.51,1.30,,
June,0.72,2.78,1.75,3.54,3.34,2.25,1.27,3.49,1.05,1.89,,
July,1.19,0.92,3.15,4.25,0.15,2.80,3.33,1.94,3.31,3.93,,
August,4.46,5.42,5.68,2.86,1.68,5.79,3.02,3.08,2.37,6.02,,
September,2.83,3.52,3.15,4.85,1.52,3.77,4.25,6.89,0.15,4.53,,
October,0.76,5.18,2.48,4.53,1.48,1.62,3.80,3.39,4.53,7.22,,
November,6.13,4.64,2.72,5.52,3.20,1.02,2.66,2.39,3.77,5.17,,
December,2.21,2.09,1.26,2.43,3.61,3.92,2.43,3.58,7.40,4.81,,
Total,35.86,37.10,29.93,38.81,26.72,28.26,32.15,37.13,34.35,44.49,,
Calc annual,35.86,37.10,29.93,38.81,26.72,28.26,32.15,37.13,34.35,44.49,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
