PORTISHEAD-BRISTOL-ROAD,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST472754,Long,-2.76162,Lat,51.4751,Elevation,24,ft,,,,,,,,,,,,,
Station no,1996,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,3.97,4.1,3.64,6.13,0.94,4.74,1.75,4.39,2.42,2.16,0.79,3.58,3.17,,,
February,,,,,,4.35,1.31,3.43,3.28,1.02,0.34,1.68,0.07,4.14,0.44,2.79,2.15,4.46,,,
March,,,,,,0.46,0.29,2.97,3.41,0.57,2.14,1.04,2.43,2.88,1.81,0.68,3.1,3.18,,,
April,,,,,,1.65,2.04,1.36,1.41,0.79,2.52,2.58,2.97,1.19,2.48,5.03,2.6,2.63,,,
May,,,,,,4.95,2.3,1.41,0.85,2.68,1.03,4.2,5.83,2.15,1.61,1.55,1.46,2.67,,,
June,,,,,,0,2.03,3.11,3.29,1.91,0.91,3.67,0.93,1.18,1.21,3.13,3.45,1.65,,,
July,,,,,,4.57,2.39,4.89,2.7,1.18,3.41,4.46,3.27,1.36,1.05,1.44,5.79,3.84,,,
August,,,,,,4.31,3.51,4.97,2.81,4.13,3.46,3.89,1.12,0.96,2.92,2.13,0.62,0.76,,,
September,,,,,,3.81,1.44,7.15,1.18,0.4,3.17,2.51,4.58,2.05,2.95,7.47,2.99,1.72,,,
October,,,,,,4.46,4.41,3.23,6.07,5.67,3.42,0.94,6.45,3.01,2.29,5.96,1.52,2.83,,,
November,,,,,,1.59,7.85,3.76,4.11,8.9,4.13,4.11,1.85,0.71,1.27,5.72,3.88,1.93,,,
December,,,,,,4.95,0.5,3.1,3.77,6.88,3.31,2.4,1.47,1.42,7.31,3.85,2.77,1.91,,,
Total,,,,,,39.07,32.17,43.02,39.01,35.07,32.58,33.23,35.36,23.47,27.5,40.54,33.91,30.75,,,
,,,,,,,,,,,,,,,,,,,,,
1938 Station renumbered 2049/7 owing to alteration of river division lines,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SRC_ID 9409,,,,,,,,,,,,,,,,,,,,,
1925-1982,,,,,,,,,,,,,,,,,,,,,
