MOSSDALE (BARNEY WATER),,,,,,,,,,,,,,,,,,,,
Grid ref,NX617712,Long,-4.1645103,Lat,55.016064,Elevation,240,ft,,,,,,,,,,,,
Station no,5015/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,6.36,9.87,2.5,6.79,7.62,9.03,6.4,3.4,1.04,9.12,10.98,7.86,4.68,,,,,
February,,,4.38,0.55,6.31,3.19,6.23,3.66,7.65,2.3,5.95,2.2,6.02,2.07,8.05,,,,,
March,,,4.4,3.94,1.9,4.2,1.95,3.61,5,5.71,3.94,5.2,1.81,0.25,3.97,,,,,
April,,,3.02,4.33,4.23,1,3.7,0.61,2.15,3.35,2.72,4.15,4.06,3.72,2.61,,,,,
May,,,2.72,4.71,0.83,2,2.3,6.98,0.7,1.14,2.46,6.24,4.81,3.24,5.37,,,,,
June,,,3.34,2.42,4.99,4.17,4.24,5.29,3.2,0.82,0.65,1.53,5.97,5.06,3.73,,,,,
July,,5.6,5.19,2.88,1.94,6.81,5.36,7.16,6.66,5.18,2.78,4.48,2.89,3.87,2.97,,,,,
August,,3.27,2.89,5.57,1.94,3.67,2.96,2.65,1.96,1,6.47,6.73,7.81,3.47,1.68,,,,,
September,,5.04,1.87,7.21,6.39,6.01,3.46,7.75,3.43,5.62,2.99,7.25,5.21,6.61,5.48,,,,,
October,,7.25,3.52,7.95,9.32,5.04,3.82,12.09,4.44,8.76,5.99,6.23,12.85,8.68,6.23,,,,,
November,,5.51,2.85,1.08,8.38,6.76,1.73,12.97,12.71,9.02,5.97,1.48,4.59,9.07,0.38,,,,,
December,,11.71,2.34,11.92,4.37,7.76,4.04,5.45,3.12,8.09,3.52,12.9,4.45,8.26,3.94,,,,,
Total,,,42.88,62.43,53.1,57.4,47.41,77.25,57.42,54.39,44.48,67.51,71.45,62.16,49.09,,,,,
