DRIFFIELD AIRFIELD,,,,,,,,,,,,,,,,,,
Grid ref,TA004565,Long,-0.470,Lat,53.995,Elevation,65,ft,,,,,,,,,,
Station no,3402/2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959
January,3.55,3.89,1.78,5.22,2.47,2.59,5.32,0.85,1.39,2.06,2.05,1.04,1.65,1.46,4.74,1.44,2.38,2.18
February,1.54,0.23,2.05,1.93,1.89,3.62,1.55,0.83,4.02,3.01,0.78,2.19,2.28,1.88,2.18,2.62,4.93,0.35
March,0.76,0.54,0.22,0.50,1.27,,0.69,1.30,1.04,3.19,2.24,0.35,2.21,2.51,0.95,1.30,2.50,1.47
April,0.89,0.88,2.16,1.93,1.18,,1.55,2.05,2.75,1.33,1.31,2.61,0.30,0.69,1.08,0.41,1.04,2.36
May,3.70,2.92,0.51,1.49,1.48,,1.71,1.54,2.06,3.99,1.72,1.61,1.83,3.50,0.78,1.25,2.21,0.79
June,1.27,1.31,2.23,2.75,2.21,2.75,4.82,0.54,1.13,1.59,1.98,2.09,1.54,2.29,2.70,1.96,3.76,1.55
July,1.93,0.97,2.38,1.17,2.72,1.33,0.80,2.08,2.77,1.85,2.80,1.85,1.85,1.29,3.93,3.18,3.74,
August,2.04,3.16,2.97,2.47,,0.44,3.06,2.61,4.60,5.97,1.84,2.30,5.45,0.48,5.51,4.27,1.26,
September,1.90,3.83,4.70,1.43,,1.07,1.43,0.89,3.36,1.43,4.48,2.07,2.26,1.00,1.59,3.07,2.00,
October,1.33,1.44,2.46,2.74,1.06,0.91,1.67,3.05,1.36,0.94,2.37,1.46,3.66,1.66,1.43,2.19,1.87,
November,0.88,2.54,3.31,0.86,5.17,1.80,0.86,4.35,4.05,4.29,3.35,2.12,4.39,1.67,0.68,2.58,0.68,
December,1.89,1.26,1.88,1.38,3.82,,2.05,2.32,3.34,1.91,2.19,1.28,2.44,3.23,2.12,2.17,3.45,
Total,21.68,22.97,26.65,23.87,,,25.51,22.41,31.87,31.56,27.11,20.97,29.86,21.66,27.69,26.44,29.82,
,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/122,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/210,,,,,,,,,,,,,,,,,,
