"STENNESS (APPIE HOUSE)",,,,,,,,,,,,
Grid ref,HY299118,Long,-3.221445,Lat,58.987563,,,,,,,
Station no,5823/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.51,3.90,4.19,2.69,3.71,6.91,4.42,5.35,6.87,3.80,,
February,3.65,2.54,3.11,4.56,3.92,1.44,2.65,3.97,1.23,3.24,,
March,3.27,3.76,1.46,2.62,1.93,2.15,5.50,3.19,1.30,1.30,,
April,3.78,0.94,2.95,1.53,1.63,1.64,1.60,1.08,2.45,3.00,,
May,0.18,2.26,2.14,2.19,2.18,2.22,1.58,4.26,2.21,1.15,,
June,1.50,2.68,1.11,3.90,1.51,3.28,2.13,1.00,2.39,2.15,,
July,2.96,1.60,2.80,4.34,0.43,4.04,3.25,1.56,3.49,1.45,,
August,3.07,6.45,2.91,2.54,1.22,3.75,3.79,2.42,2.36,2.13,,
September,1.61,3.75,3.81,4.50,5.34,3.05,3.03,1.89,1.52,2.10,,
October,2.62,4.64,2.57,7.94,5.50,4.15,5.50,5.57,4.92,3.24,,
November,7.33,3.59,6.99,7.00,1.75,3.69,4.21,2.08,6.25,3.67,,
December,5.38,3.89,3.23,5.85,8.67,5.67,6.08,5.87,5.52,4.61,,
Total,38.86,40.00,37.27,49.66,37.79,41.99,43.74,38.24,40.51,31.84,,
Calc annual,38.86,40.00,37.27,49.66,37.79,41.99,43.74,38.24,40.51,31.84,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
