"MANGERTON",,,,,,,,,,,,
Grid ref,IV9802780720,Long,-9.484694,Lat,51.969528,,,,,,,
Station no,RR4042,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.00,,8.05,10.50,14.50,,,,,,,
February,7.00,,12.25,19.20,12.50,,,,,,,
March,4.50,,5.00,24.20,6.75,,,,,,,
April,9.30,9.50,8.25,3.50,7.50,,,,,,,
May,9.50,,5.25,9.50,6.25,,,,,,,
June,12.00,,8.25,6.00,5.25,,,,,,,
July,4.75,2.75,3.20,7.00,11.75,,,,,,,
August,7.75,4.25,8.25,10.50,7.50,,,,,,,
September,6.00,15.75,6.75,13.25,8.25,,,,,,,
October,16.50,8.50,4.05,17.25,5.50,,,,,,,
November,15.25,5.75,13.75,6.00,7.75,,,,,,,
December,19.25,12.25,8.75,14.00,8.50,,,,,,,
Total,118.80,,91.80,140.90,102.00,,,,,,,
Calc annual,118.80,58.75,91.80,140.90,102.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
