MANGERTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IV9831882799,Long,-9.4810724,Lat,51.988263,Elevation,1760,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,8.6,13,10.1,8.5,13.25,9,12.5,20.5,6.5,11.5,11,12.5,8,4,7,7,16.5,7,,8.05,10.5,14.5,,,,,
February,,,,12,11.8,12.2,6.6,5.25,2.5,7,9,3,9,18.5,12.5,3.5,5,9.5,13,12.5,7,,12.25,19.2,12.5,,,,,
March,,,,5,4.5,8.1,9.2,3,8.5,3.5,11.5,2.75,4.2,3,5,6,9,12,3.2,7.5,4.5,,5,24.2,6.75,,,,,
April,,,,7.6,4,6,6.5,2.75,6.5,6,7,4.5,2.5,3.5,8.75,5,3.5,11,7,-999,9.3,9.5,8.25,3.5,7.5,,,,,
May,,,,8.2,4.6,6,7.6,3,5.5,10.5,-999,7,6,3.25,5.5,2,0.5,5.5,4.7,-999,9.5,,5.25,9.5,6.25,,,,,
June,,,,4.6,1.8,3,2.5,1.5,5.5,1.5,-999,6,4.5,8,4,3.5,3.75,9,4,7.5,12,,8.25,6,5.25,,,,,
July,,,,8.6,8.2,3.4,12.25,5.5,9,2.5,-999,4,12.5,7.5,7,8.5,10,3,2,12.25,4.75,2.75,3.2,7,11.75,,,,,
August,,,,10.6,3.1,6.8,8.6,6,7.75,13,-999,9.75,15,7,4.5,9,8.5,13,6,15,7.75,4.25,8.25,10.5,7.5,,,,,
September,,,,7,5.4,11,12.8,4.5,2.5,6,-999,8.25,8.5,8,2,3,11.5,5.5,4,12,6,15.75,6.75,13.25,8.25,,,,,
October,,,,8,6.4,7.5,12,3.75,6.5,8.5,-999,12.5,9.5,,9.25,5.5,7,10,12,6.5,16.5,8.5,4.05,17.25,5.5,,,,,
November,,,,10,7.2,9,,6.5,8.5,14.5,-999,7.25,15.7,7,11.5,7.5,4,12.25,12,8.75,15.25,5.75,13.75,6,7.75,,,,,
December,,,,6,9,5,,8,16.75,10.5,-999,15.4,15.4,,8,12.5,11,15.25,13.6,15,19.25,12.25,8.75,14,8.5,,,,,
Total,,,,96.2,79,88.1,,63,88.5,96,104,86.9,114.3,,90.5,74,77.75,113,88.5,126.5,118.8,,91.8,140.9,102,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890 May-Dec bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1893 Oct 7.5, Dec 13 and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899 April/May bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV9802780720 as given on record is at 2733ft on Mangerton Mountain; this concurs with distance form Kilarney Church on record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge noted as being moved from the top (of the mountain presumably) at end of April 1883 after which elevation is 1760 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distance quoted as 2 and a half miles to Muckross church to NW. Elevation thereabouts is 1745 ft so grid reference given above is there,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
