MILNTHORPE ST ANTHONYS,,,,,,,,,,
Grid ref,SD496824,Long,-2.7747262,Lat,54.234809,Elevation,121,ft,,
Station no,RR8224,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,3.55,4.23,4.56,5.5,4.06,2.19,4.61,
February,,,3.25,2.98,4.82,5.51,3.88,1.05,4.79,
March,,,6.9,4.75,5.33,2.07,1.65,2.37,0.95,
April,,,1.01,4.74,0.86,2.56,1.95,1.74,,
May,,,2.35,2.7,2.4,1.17,2.7,,,
June,,,6.28,3.39,0.82,0.53,2.89,3.62,,
July,,,5.66,0.84,3.79,4.96,2.9,,,
August,,,5.1,2.2,2.35,3.44,2.75,,,
September,,,1.6,2.88,4.06,0.71,,,,
October,,5.69,5.74,3.51,2.11,1.99,,6.86,,
November,,6.88,6.13,5.39,6.14,2.45,3.91,4.4,,
December,,6.76,6.09,3.64,6.2,5.52,4.04,1.97,,
Total,,,53.66,41.25,43.44,36.41,,,,
,,,,,,,,,,
"1917 May, July, August estimated therefore removed",,,,,,,,,,
