"SANDOWN (PUMPING STATION)",,,,,,,,,,,,
Grid ref,SZ589849,Long,-1.168047,Lat,50.660804,,,,,,,
Station no,598/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.48,3.16,1.11,1.56,3.90,4.91,2.57,4.69,3.78,4.35,,
February,7.34,0.69,1.31,3.43,2.15,0.20,4.46,2.63,0.27,3.02,,
March,5.03,2.73,0.34,3.73,1.08,0.28,1.73,1.39,2.33,2.69,,
April,2.52,1.75,1.45,0.30,0.31,1.52,0.12,0.46,2.74,1.04,,
May,2.29,1.77,2.75,2.52,3.53,0.31,0.65,3.24,0.55,1.81,,
June,0.91,1.40,2.12,3.20,3.74,2.27,2.03,2.56,0.67,1.54,,
July,1.27,0.33,2.97,4.32,0.43,1.98,4.11,1.39,1.76,2.92,,
August,4.47,2.79,1.56,2.70,1.26,4.32,2.84,3.50,2.20,5.12,,
September,3.55,5.11,3.20,3.24,2.57,3.92,3.87,3.84,0.17,5.05,,
October,1.77,4.84,3.23,2.87,2.20,1.40,2.66,2.43,3.78,6.96,,
November,8.27,5.22,1.78,6.26,2.07,0.89,2.99,2.04,3.72,6.91,,
December,3.31,3.25,0.79,3.77,5.95,5.20,2.80,4.18,9.11,5.06,,
Total,45.21,33.04,22.61,37.90,29.19,27.20,30.83,32.35,31.08,46.47,,
Calc annual,45.21,33.04,22.61,37.90,29.19,27.20,30.83,32.35,31.08,46.47,,
Difference,-0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
