"MIDDLETON ST GEORGE",,,,,,,,,,,,
Grid ref,NZ376132,Long,-1.420754,Lat,54.512717,,,,,,,
Station no,3504/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,-999.00,1.70,0.73,1.77,1.79,2.36,1.41,1.24,2.07,4.11,,
February,-999.00,0.37,2.00,1.31,1.47,1.74,1.36,2.93,0.63,1.66,,
March,-999.00,1.13,0.11,1.34,1.18,0.45,0.83,1.19,0.54,1.93,,
April,-999.00,1.79,2.09,0.22,0.85,0.71,0.17,1.22,1.42,0.52,,
May,-999.00,1.35,1.63,2.81,1.48,0.30,1.82,2.60,0.52,0.80,,
June,-999.00,1.43,2.13,2.28,1.98,2.73,2.95,2.60,1.70,0.29,,
July,-999.00,1.18,3.20,1.78,0.89,3.52,3.73,2.55,1.23,4.39,,
August,-999.00,2.31,2.99,4.36,0.68,6.04,3.31,2.67,0.17,2.81,,
September,0.80,3.90,1.40,1.51,0.96,2.23,3.12,1.87,0.95,2.13,,
October,1.36,2.34,1.56,3.73,1.48,1.26,1.58,1.14,0.98,4.59,,
November,4.67,2.95,1.50,3.34,1.97,0.67,1.39,0.69,2.93,2.50,,
December,2.89,1.70,0.72,1.28,2.24,1.95,1.73,2.29,2.36,2.12,,
Total,,22.15,20.06,25.73,16.97,23.96,23.40,22.99,15.50,27.85,,
Calc annual,9.72,22.15,20.06,25.73,16.97,23.96,23.40,22.99,15.50,27.85,,
Difference,NaN,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,,
