MIDDLETON ST GEORGE,,,,,,,,,,
Grid ref,NZ376132,Long,-1.420754,Lat,54.512717,Elevation,115,ft,,
Station no,3504/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.7,0.73,1.77,1.79,2.36,1.41,1.24,2.07,4.11
February,,0.37,2,1.31,1.47,1.74,1.36,2.93,0.63,1.66
March,,1.13,0.11,1.34,1.18,0.45,0.83,1.19,0.54,1.93
April,,1.79,2.09,0.22,0.85,0.71,0.17,1.22,1.42,0.52
May,,1.35,1.63,2.81,1.48,0.3,1.82,2.6,0.52,0.8
June,,1.43,2.13,2.28,1.98,2.73,2.95,2.6,1.7,0.29
July,,1.18,3.2,1.78,0.89,3.52,3.73,2.55,1.23,4.39
August,,2.31,2.99,4.36,0.68,6.04,3.31,2.67,0.17,2.81
September,0.8,3.9,1.4,1.51,0.96,2.23,3.12,1.87,0.95,2.13
October,1.36,2.34,1.56,3.73,1.48,1.26,1.58,1.14,0.98,4.59
November,4.67,2.95,1.5,3.34,1.97,0.67,1.39,0.69,2.93,2.5
December,2.89,1.7,0.72,1.28,2.24,1.95,1.73,2.29,2.36,2.12
Total,,22.15,20.06,25.73,16.97,23.96,23.4,22.99,15.5,27.85
,,,,,,,,,,
1951 Jan-Aug -100s removed,,,,,,,,,,
TYRain_1941-1950_23_pt1-page-007.csv - no data,,,,,,,,,,
328,MIDDLETON ST GEORGE ,NZ3770313188,01/01/1952,31/12/1964,,,,,,
