LITTLE-WALTHAM-HALL,,,,,,,,,,,
Grid ref,TL713126,Long,0.48211854,Lat,51.785835,Elevation,150,ft,,,
Station no,RR8158,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,2.3,1.79,3.23,,2.72,1.55,,,,,
February,0.31,0.21,1.72,,0.61,2.06,,,,,
March,0.75,1.08,1.27,,0.7,0.88,,,,,
April,3.6,1.49,2.4,,2.84,1.61,,,,,
May,2.76,0.85,0.86,,4.49,2.15,,,,,
June,0.75,0.16,1.52,,1.4,0.44,,,,,
July,3.28,0.23,2.61,,2.98,3.78,,,,,
August,1.9,1.06,2.06,,2.05,2.81,,,,,
September,3.53,2.07,2.45,,2.02,2.56,,,,,
October,0.77,1.84,0.97,,3.81,3.06,,,,,
November,0.4,1.82,1.24,,2.87,1.78,,,,,
December,2.36,1.3,2.14,,3.21,2.21,,,,,
Total,22.71,13.9,22.47,,29.7,24.89,,,,,
