LIFTON-RADDON-SLOPE-(TULIP-TREES),,,,,,,,
Grid ref,SX387851,Long,-4.28194,Lat,50.64374,Elevation,250,ft
Station no,1661/5,,,,,,,
,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938
January,,6.89,3.99,5.56,1.49,6.62,8.92,7.59
February,,0.1,4.69,0.35,5.45,4.95,8.32,1.59
March,,2.6,4.6,3.49,1.76,4.64,6.31,0.46
April,,3.3,2.18,3.39,6.38,2.65,3.51,0.2
May,,4.07,2.44,2.54,1.6,0.71,3.49,3.49
June,,3.97,2.87,2.12,5.13,3.07,1.12,2.17
July,,4.1,2.8,0.59,0.7,8.79,2.05,4.82
August,,2.33,1.64,6.75,2.11,0.54,1.46,7.83
September,,5.85,2.96,3.99,5.43,3.95,3.91,1.68
October,,11.69,6.59,4.88,7.93,1.71,3.71,6
November,,3.8,1.84,2.12,8.44,5.92,2.45,8.72
December,,4.07,1.98,13.54,4.91,6.27,4.64,5.36
Total,,52.77,38.58,49.32,51.33,49.82,49.89,49.91
,,,,,,,,
Tulip Trees next to Lifton Cottage,,,,,,,,
1932 Gauge moved from Exton Stone Lodge Stn No 2114,,,,,,,,
Elevation on sheet is 350ft but too high for this area Elevation similar to Raddon Slope,,,,,,,,
1939 Jan 1 Station moved 300yds NE to Raddon Slope,,,,,,,,
