MILL-HILL-CEMETERY,,,,,,,,,,
Grid ref,TQ231918,Long,-0.22358924,Lat,51.611582,Elevation,250,ft.,,
Station no,872/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,
June,,,,,,,,,,
July,,,,,,,,,,
August,,,,,,,,,,
September,,,,,,,,,,4.04
October,,,,,,,,,,5.75
November,,,,,,,,,,4.19
December,,,,,,,,,,2.96
Total,,,,,,,,,,
,,,,,,,,,,
NGR is from the 1950s record and is a cemetery mentioned in the title of the record. Altitude from OS map.,,,,,,,,,,
"MIDAS src_id 5594 ends 1987 and locates gauge 100m S, but still in cemetery",,,,,,,,,,
