"CRAIGENCALLIE",,,,,,,,,,,,
Grid ref,NX504779,Long,-4.344594,Lat,55.072950,,,,,,,
Station no,5015/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,10.13,8.88,5.97,7.55,5.78,6.77,8.94,11.51,3.82,7.33,,
February,6.16,2.56,3.39,6.64,3.86,2.07,4.38,8.56,4.90,9.90,,
March,6.02,5.31,1.28,5.89,4.09,4.16,9.29,2.52,6.84,3.07,,
April,5.82,4.18,4.35,3.10,5.86,2.27,-999.00,3.04,6.81,9.87,,
May,2.69,3.61,4.99,5.07,6.70,4.47,4.09,5.61,2.58,3.70,,
June,3.61,5.07,3.29,9.57,5.80,4.65,2.83,5.12,4.54,4.99,,
July,5.09,5.02,11.18,8.17,2.87,7.10,7.02,5.28,7.69,5.95,,
August,10.81,6.62,6.70,6.93,2.53,10.65,7.85,6.22,1.63,6.69,,
September,9.12,4.96,11.62,12.69,6.47,7.11,8.73,9.03,2.85,5.14,,
October,1.45,6.17,5.73,15.68,5.45,6.95,8.48,8.04,10.28,7.81,,
November,13.60,5.12,12.04,14.67,4.72,5.17,4.25,4.75,11.71,14.50,,
December,15.64,8.15,8.78,15.34,12.53,9.08,12.04,7.56,17.13,9.36,,
Total,90.14,65.65,79.32,111.30,66.66,70.45,82.62,77.24,80.78,88.31,,
Calc annual,90.14,65.65,79.32,111.30,66.66,70.45,77.90,77.24,80.78,88.31,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,4.72,-0.00,0.00,0.00,,
