"NEW GALLOWAY, CRAIGENCALLIE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5015/7,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,,,14.48,
February,,,,,,,,,,,0.70,
March,,,,,,,,,,,5.12,
April,,,,,,,,,,,3.05,
May,,,,,,,,,,,3.21,
June,,,,,,,,,,,4.91,
July,,,,,,,,,,8.10,5.65,
August,,,,,,,,,,10.45,11.90,
September,,,,,,,,,,2.04,6.55,
October,,,,,,,,,,11.04,15.13,
November,,,,,,,,,,16.38,10.01,
December,,,,,,,,,,18.26,9.01,
Total,,,,,,,,,,,89.72,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.27,89.72,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,
