"NEW GALLOWAY, CRAIGENCALLIE",,,,,,,,,,,,
Grid ref,NX503779,Long,-4.346159,Lat,55.072920,,,,,,,
Station no,5015/7,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,6.91,5.61,9.56,5.32,,,,
February,,,,,5.33,5.76,3.96,5.23,,,,
March,,,,,5.20,6.71,5.35,8.43,,,,
April,,,,,6.99,5.36,2.31,4.87,,,,
May,,,,,4.04,3.93,6.89,6.57,,,,
June,,,,,2.50,4.10,2.06,8.78,,,,
July,,,,,6.42,3.30,4.36,4.29,,,,
August,,,,,9.01,5.44,6.26,9.59,,,,
September,,,,,7.98,5.66,2.94,4.92,,,,
October,,,,,7.42,6.50,12.39,11.66,,,,
November,,,,,6.78,7.90,7.48,6.90,,,,
December,,,,,6.20,7.15,9.71,7.62,,,,
Total,,,,,74.73,67.42,73.27,84.18,,,,
Calc annual,0.00,0.00,0.00,0.00,74.78,67.42,73.27,84.18,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,-0.05,0.00,0.00,0.00,NaN,NaN,,
