"SKIPNESS CASTLE, ARGYLLSHIRE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NR 908 577,Long,-5.336774,Lat,55.767656,Elevation,27,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5419/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,3.2,4.1,3,5.7,6.3,5.4,4.9,3.1,7.9,5.3,1.5,3.1,0.9,4.2,3.6,7.8,3.2,6.1,4.2,4.2,3.5
February,,,,,,,,,,4.2,3.7,3.5,4.2,1.3,3.4,1.9,6.5,6.8,3.7,1.7,4.2,5.2,5.2,5.3,4.8,4.2,5.1,3.9,1.8,4.35
March,,,,,,,,,,0.2,1.7,4.3,3.5,2.3,5.2,2.5,6.2,4.5,2.5,4.1,3.9,4.7,4.1,2.1,3.6,3.2,3.4,3.6,3.5,3.7
April,,,,,,,,,,0.9,2.5,4.1,3.7,2.5,3.3,0.5,2.6,3.4,3.1,1.7,2.7,3.6,2.9,2.6,1.7,2.9,2.5,2.9,2.25,2.9
May,,,,,,,,,,1.2,4.1,1.6,3.5,0.7,1.4,3,0.9,2.6,2.2,2.3,2.1,2.9,1.8,4.4,3.5,2.8,3.2,1.8,2.9,2.85
June,,,,,,,,,,0.2,2.1,0.7,6.7,2.5,1.7,3.1,1.3,2.8,2.5,5.1,0.8,4,2.9,4.1,0.3,1.6,1.1,1.2,3.8,1.95
July,,,,,,,,,,0.5,2.9,3.7,3.5,5.2,2.9,2.7,5.7,6.2,1.1,4.9,3.4,4.1,5.2,2.1,4.7,2.5,3.2,2.8,4.7,1.6
August,,,,,,,,,,2.1,4.7,3.3,3.7,6.2,5,3.6,4.2,6.8,2.7,5.6,2.1,4,4.6,7.6,5.4,2.6,2.8,2.4,4.2,8.2
September,,,,,,,,,,4.1,2.5,2.7,8.6,5.6,7.3,5.7,3.1,1.7,5.8,7,2.9,2.2,4.2,3.4,4.9,7.9,7.3,4.8,4.5,3.2
October,,,,,,,,,,3.1,7,3.3,5.3,7.4,7.6,5.8,6.5,6.8,10.8,2.6,1.3,3.3,4.8,6.2,6.2,5.5,5.8,1.6,2.4,3.75
November,,,,,,,,,,6.3,2.3,4.3,6.1,4.1,6.2,6.6,3.7,8.3,2.1,6.4,4.8,5.2,8.7,8.8,5.1,3.7,5.1,3.2,7.8,3.2
December,,,,,,,,,,6.4,5.2,5.2,5.4,3.7,4.7,5,6.2,7.7,1.5,4.7,7,7.4,5.9,7,7.9,4.6,5.8,4.1,5.4,5.2
Total,,,,,,,,,,32.4,42.8,39.7,59.9,47.8,54.1,45.3,50,65.5,43.3,47.6,38.3,47.5,54.5,57.2,55.9,44.7,51.4,36.5,47.45,44.4
