SKIPNESS HOUSE,,,,,,,,,,
Grid ref,NR907576,Long,-5.33796,Lat,55.766331,Elevation,27,ft,,
Station no,5419/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.89,5.68,5.61,1.77,5.63
February,,,,,,1.87,3.37,5.46,1.79,3.97
March,,,,,,2.83,5.53,1.98,3.1,2.36
April,,,,,,2,2.18,2.19,3.12,3.67
May,,,,,,2.97,2,3.22,1.82,3.04
June,,,,,4.24,2.9,3.09,4.43,3.47,2.06
July,,,,,0.89,6.15,4.87,4.76,6.3,4.6
August,,,,,1.47,6.5,5.39,5.24,1.3,2.92
September,,,,,5.5,3.76,4.03,4.82,2.15,3.46
October,,,,,4.52,3.68,5.7,4.97,7.2,5.75
November,,,,,2.38,3.68,2.54,2.58,6.15,6.82
December,,,,,8.29,6.68,5.57,8,9.26,5.95
Total,,,,,,47.91,49.95,53.26,47.43,50.23
