KINTYRE SKIPNESS CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NR 908 577,Long,-5.336774,Lat,55.767656,Elevation,27,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5419/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5419/5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,,,,,,,,,,,,,,,
January,7.4,3.3,6.96,4.88,7.83,2.13,3.78,2.4,4.45,6.28,6.23,3.92,4.84,6.47,6.12,4.28,5.78,3.23,5.05,5.23,4.22,2.93,4.58,5.78,4.91,4.9,6.8,3.48,4.46,4.89,6.11,7.75,4.84,5.73,4.77,4.44,8.16,8.08,9.43,,,,7.68,4.91,5.98,5.49,4.57,,,,,,,,,,,,,,,
February,1.24,0.8,2.76,3.12,9.34,3,2.57,3.76,5.78,2.83,3.76,3.12,1.15,6.75,3.47,3.43,4.74,3.04,4.93,3.12,6.87,4.26,3.24,3.1,5.28,5.31,6.72,1.86,5.41,1.52,5.2,1.92,6.47,6.64,1.81,5,5.53,2.61,4.88,,,,0.04,4.45,1,6.85,2.58,,,,,,,,,,,,,,,
March,4.2,4.42,0.9,2.07,4.26,3.15,6.35,5.1,2.12,4.1,0.54,3.4,4.17,7.13,4.17,5.27,3.15,5.46,4.58,2.67,2.79,2.89,5.4,5.42,5.38,3.54,2.24,2.56,1.62,3.54,4.15,5.65,1.92,2.11,0.9,3.93,3.79,4.23,3.81,,,,3.02,2.42,3.35,2.31,3.6,,,,,,,,,,,,,,,
April,2.9,1.65,1.96,2.02,5.33,2.87,3.42,2.14,3.4,5.63,3.26,3.93,1.83,2.37,5.12,3.63,2.44,2.23,1.8,3.44,4.72,4.13,2.37,4.03,2.77,3.74,4.65,2.67,1.32,2.23,2.79,1.62,3.71,3.4,3.46,4.52,2.54,3.89,3.31,,,,4.88,3.02,2.9,3.22,1.4,,,,,,,,,,,,,,,
May,3.2,3.05,5.98,2.07,3.12,0.34,1.19,2.7,3.2,3.1,3.4,1.53,3.33,3.17,4.94,1.93,4.95,3.77,3.1,2.63,4.07,1.92,1.31,3.8,1.77,1.15,4.21,5.09,3.43,1.38,5.9,2.77,3.86,2.74,4.66,5.56,2.41,3.19,2.02,,,,2.4,3.17,3.1,0.95,3.15,,,,,,,,,,,,,,,
June,6.2,0.9,4.8,1.65,3.29,2.1,3.75,7.55,3.05,1.75,2.16,3.78,1.93,2.03,0.93,1.4,2.92,4.04,2.92,2.38,1.47,1.68,3.89,2.67,1.24,1.95,1.3,2.25,2.08,3.94,2.86,1.42,3.37,2.53,3.16,1.19,2.77,4.09,,,,,1.53,4.08,2.52,3.56,1.95,,,,,,,,,,,,,,,
July,5.2,2.28,2.15,6.13,4.25,6.65,4.47,2.96,2.46,1.92,5.1,1.23,3.77,4.47,2.22,2.47,4.16,3.22,3.26,3.36,2.78,2.59,2.27,1.67,1.83,3.9,2.16,1.74,3.42,1.51,2.89,4.44,2.78,4.15,3.92,1.72,3.12,3.5,,,,,4.24,3.26,3.28,2.75,5.86,,,,,,,,,,,,,,,
August,6.25,5.1,5.93,3.87,3.82,4.1,3.45,5.73,5.74,3.2,5.64,2.93,3.97,8.47,4.97,6.79,5.73,5.74,4.38,3.93,5.82,2.14,3.41,1.92,3.81,2.6,3.39,3.49,3.67,3.78,6.09,5.53,3.72,6.36,4.42,3.24,4.93,4.41,,,,,2.89,4.43,5.36,2.06,3.42,,,,,,,,,,,,,,,
September,5.9,5.75,6.87,4.32,0.1,3.25,5.22,5.83,5.62,6.12,4.93,5.16,3.47,5.27,4.82,3.07,2.17,1.19,5.85,5.59,1.3,2.17,3.5,2.46,3.06,1.41,2.29,3.66,6.15,3.89,4.29,2.72,2.83,7.42,4.99,3.9,4.02,6.83,,,,,6.73,1.45,6.39,6.68,4.8,,,,,,,,,,,,,,,
October,6.1,5.9,3.24,6.97,3.35,4.43,3.92,2.86,4.92,3.98,6.78,4.83,3.11,8.07,3.78,4.33,8.63,5.96,1.83,5.23,2.03,3.73,5.21,2.75,2.35,1.92,8.09,10.94,6.25,1.59,4.93,5.09,2.72,7.32,3.19,3.9,8.16,5.26,,,,,6.82,4.13,8.73,10.72,5.62,,,,,,,,,,,,,,,
