"MILLBROOK RESERVOIR",,,,,,,,,,,,
Grid ref,WV632507,Long,-2.132406,Lat,49.204858,,,,,,,
Station no,4430,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.34,5.50,1.01,3.43,4.01,6.54,2.36,6.61,5.55,3.70,,
February,4.60,1.72,1.83,2.89,4.35,0.58,7.39,4.24,0.10,3.90,,
March,3.75,4.18,0.20,3.41,1.67,0.69,2.16,3.50,1.98,2.42,,
April,2.12,1.82,3.48,0.70,0.41,0.81,0.80,0.74,3.30,1.58,,
May,3.71,1.19,1.62,1.53,2.38,1.43,0.92,2.85,1.72,2.50,,
June,1.63,0.30,1.13,1.80,2.28,1.59,0.90,3.23,0.80,1.47,,
July,1.15,1.24,2.75,2.51,1.43,1.88,2.06,0.99,0.69,3.77,,
August,6.18,3.43,1.11,2.79,0.87,5.01,2.35,4.08,1.70,4.39,,
September,4.82,8.23,2.90,4.12,2.75,2.20,4.02,2.65,0.63,2.48,,
October,0.61,5.42,2.34,3.13,3.69,2.45,1.73,3.81,3.85,5.91,,
November,7.60,5.40,2.15,5.13,1.35,1.55,3.36,3.42,5.02,5.88,,
December,4.67,6.79,1.10,3.82,5.23,4.82,3.30,4.22,8.34,7.49,,
Total,44.18,45.22,21.62,35.26,30.42,29.55,31.35,40.34,33.68,45.49,,
Calc annual,44.18,45.22,21.62,35.26,30.42,29.55,31.35,40.34,33.68,45.49,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
