UPPER FARG (MAIN BANK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO109109,Long,-3.440732,Lat,56.282164,Elevation,632,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,7,5.17,2,2.7,3.51,5.26,3.42,3.19,3.81,4.31,6.26,2.84,2.16,4,2.96,0.67,2.72,2.06,3.2,5.9,3.17,1.38,3.27
February,,,,,,,,2,4.01,2,6.55,1.71,2.12,1.24,4.09,1.4,3.25,4.35,2.96,4.28,3.59,0.45,1.52,3.3,2.61,1.91,3.54,2.49,1.03,2.84
March,,,,,,,,1.8,3.67,3.25,2.77,2.39,1.45,0.24,2.59,3.38,5.43,1.76,1.38,2.79,2.82,3.48,1.26,3.37,2.54,1.56,2.77,2.93,1.92,1.53
April,,,,,,,,0.17,2.05,2.66,2.29,2.17,2.33,2.72,1.7,0.57,5.4,2.48,1.95,2.44,3.25,2.18,2.48,1.88,1.25,0.86,1.45,2.22,2.23,2.18
May,,,,,,,,4.56,1.67,1.04,4.41,3.9,3.99,1.88,5.17,1.69,4.27,3.53,2.47,1.71,2.47,1.96,2.66,6.44,3.21,1.78,2,2.54,0.83,2.53
June,,,,,,,,4.21,2.43,0.94,0.81,1.17,2.83,2.8,4.46,2.64,4.28,4.92,1.3,2.12,2.4,2.63,1.81,3.39,1.57,2.72,1.18,4.5,2.07,1.8
July,,,,,,,,4.87,4.42,7.19,2.47,3,2.69,3.03,3.86,4.18,3.9,3.95,2.41,4.11,4.35,2.46,4.34,1.82,1.45,5.7,4.43,6.73,6.18,3.49
August,,,,,,,,1.51,1.88,0.96,4.34,4.06,6.62,2.61,2.44,4.26,0.12,9.74,3.6,4.46,5.99,4.56,2.71,4.08,1.11,5.13,3.99,4.46,0.54,4.65
September,,,,,,,,4.54,2.15,2.58,1.23,4.15,2.98,3.88,3.6,6.35,3.14,3.82,2.41,6.14,2.75,2.49,3.28,3.68,1.95,4.46,2.31,3.8,0.69,1.82
October,,,,,,,,6.54,4.5,4.85,3.94,2.44,5.92,4.47,4.58,0.34,2.32,3.67,4.74,2.19,0.76,3.18,1.45,6.97,2.24,2.25,2.79,2.49,2.9,5.4
November,,,,,,,,5.64,6.38,6.07,3.45,0.82,1.9,7.35,1.17,6.77,3.29,2.55,3.97,3.34,8.42,2.25,4.63,6.14,1.74,0.68,2.6,1.2,7.44,3.91
December,,,,,,,,2.2,1.92,3.7,3.04,4.16,2.3,3.99,3.98,3.5,2.02,5.81,4.98,1.31,4.18,2.7,4.6,4.21,6.07,4.38,4.89,6.62,6.12,3.21
Total,,,,,,,,45.04,40.25,37.24,38,33.48,40.39,37.63,40.83,38.89,41.73,52.84,35.01,37.05,44.98,31.3,31.41,48,27.8,34.63,37.85,43.15,33.33,36.63
