"TULLYMORE PARK, NEWCASTLE",,,,,,,,,,,,,,,,,,,,
Grid ref,IJ3440032700,Long,-5.93971,Lat,54.225685,Elevation,276,ft,,,,,,,,,,,,
Station no,RR6267,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,3.96,10.22,6.3,2.31,6.51,1.13,4.14,2.91,3.97,2.56,8.73,11.67,2.03,,,,,
February,,,5.75,5.03,6.64,2.44,3.6,3.04,2.24,1.94,9.28,3.82,9.53,3.48,7.96,,,,,
March,,,2.5,11.03,4.63,7.81,2.01,3.56,7.83,8.05,4.74,1.84,9.03,6.76,8.01,,,,,
April,,,5.75,1.26,3.67,3.22,2.27,4.78,7.82,5.65,2.99,3.94,2.44,7.56,2.88,,,,,
May,,,4.99,4.3,2.27,1.21,6.14,7.24,3.25,2.07,2.49,3.62,1.97,5.06,2.76,,,,,
June,,,5.33,2.06,3.9,3.84,1.31,6.31,3.29,3.58,4.39,3.73,6.03,3.21,1.72,,,,,
July,,,4.11,6.11,4.63,1.46,3.24,2.48,4.28,3.47,4.42,2.71,5.83,1.19,3.63,,,,,
August,,,3.56,6.69,6.01,11.48,3.8,3.47,4.2,1.74,7.64,3.78,7.83,0.78,4.45,,,,,
September,,,5.45,5.53,5.08,1.69,0.56,1.33,5.98,2.43,0.94,0.95,0.59,8.94,1.16,,,,,
October,,4.46,2.76,9.4,1.26,2.26,9.55,7.06,5.72,8.3,2.31,6.73,4.91,6.43,2.51,,,,,
November,,4.77,10.31,2.39,2.16,8.58,3.78,4.84,3.71,1.14,4.03,6.92,2.86,7.27,6.17,,,,,
December,,5.88,7.52,8.12,3.28,4.74,3.42,5.34,5.92,4.98,9.57,15.44,7.4,3.84,12.01,,,,,
Total,,,61.99,72.14,49.83,51.04,46.19,50.58,58.38,46.26,56.77,56.04,67.15,66.19,55.29,,,,,
