"TOLLYMORE PARK, NEWCASTLE",,,,,,,,,,,,
Grid ref,IJ3440032700,Long,-5.939710,Lat,54.225685,,,,,,,
Station no,RR6267,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,3.96,10.22,6.30,2.31,6.51,1.13,4.14,2.91,,
February,,,5.75,5.03,6.64,2.44,3.60,3.04,2.24,1.94,,
March,,,2.50,11.03,4.63,7.81,2.01,3.56,7.83,8.05,,
April,,,5.75,1.26,3.67,3.22,2.27,4.78,7.82,5.65,,
May,,,4.99,4.30,2.27,1.21,6.14,7.24,3.25,2.07,,
June,,,5.33,2.06,3.90,3.84,1.31,6.31,3.29,3.58,,
July,,,4.11,6.11,4.63,1.46,3.24,2.48,4.28,3.47,,
August,,,3.56,6.69,6.01,11.48,3.80,3.47,4.20,1.74,,
September,,,5.45,5.53,5.08,1.69,0.56,1.33,5.98,2.43,,
October,,4.46,2.76,9.40,1.26,2.26,9.55,7.06,5.72,8.30,,
November,,4.77,10.31,2.39,2.16,8.58,3.78,4.84,3.71,1.14,,
December,,5.88,7.52,8.12,3.28,4.74,3.42,5.34,5.92,4.98,,
Total,,,61.99,72.14,49.83,51.04,46.19,50.58,58.38,46.26,,
Calc annual,0.00,15.11,61.99,72.14,49.83,51.04,46.19,50.58,58.38,46.26,,
Difference,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
