"CHIPPENHAM (MONKTON PARK)",,,,,,,,,,,,
Grid ref,ST926733,Long,-2.107900,Lat,51.458627,,,,,,,
Station no,1493/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.78,3.11,0.60,,,,,,,,,
February,4.38,0.78,2.23,,,,,,,,,
March,3.49,3.20,0.63,,,,,,,,,
April,3.05,1.62,2.45,,,,,,,,,
May,1.87,3.64,2.06,,,,,,,,,
June,1.46,2.23,2.04,,,,,,,,,
July,1.18,0.44,3.66,,,,,,,,,
August,5.62,6.21,3.12,,,,,,,,,
September,2.57,2.53,3.62,,,,,,,,,
October,0.70,3.96,2.31,,,,,,,,,
November,5.85,4.24,,,,,,,,,,
December,2.06,2.84,,,,,,,,,,
Total,35.01,34.80,,,,,,,,,,
Calc annual,35.01,34.80,22.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
