"FORFAR W.W. (DEN OF OGIL)",,,,,,,,,,,,
Grid ref,NO439620,Long,-2.918859,Lat,56.746240,,,,,,,
Station no,5604,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,2.64,2.79,2.20,,
February,,,,,,,,1.57,1.01,0.52,,
March,,,,,,,,1.34,4.51,3.58,,
April,,,,,,,,3.32,0.94,3.68,,
May,,,,,,,,5.15,1.71,2.19,,
June,,,,,,,,6.16,1.03,1.54,,
July,,,,,,,,2.06,1.29,2.76,,
August,,,,,,,,3.58,2.08,0.93,,
September,,,,,,,,1.30,6.20,0.98,,
October,,,,,,,,4.45,3.84,4.02,,
November,,,,,,,,2.24,2.10,0.20,,
December,,,,,,,,4.10,4.21,5.20,,
Total,,,,,,,,37.91,31.71,27.80,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.91,31.71,27.80,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,,
