"LUBREOCH DAM (NEW SITE)",,,,,,,,,,,,
Grid ref,NN457417,Long,-4.511101,Lat,56.541887,,,,,,,
Station no,5557/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,9.42,4.40,6.96,,
February,,,,,,,,5.00,4.41,7.13,,
March,,,,,,,,2.13,8.42,2.94,,
April,,,,,,,,4.28,5.95,9.33,,
May,,,,,,,,6.69,3.54,4.18,,
June,,,,,,,,3.55,4.37,3.29,,
July,,,,,,,,4.49,5.92,4.52,,
August,,,,,,,,7.58,4.59,3.61,,
September,,,,,,,,7.53,1.30,4.03,,
October,,,,,,,,8.59,8.89,5.70,,
November,,,,,,,,1.28,10.78,11.18,,
December,,,,,,,15.57,9.70,15.27,10.05,,
Total,,,,,,,,70.24,77.84,72.92,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,15.57,70.24,77.84,72.92,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,,
