NORTH SHIELDS BILLY MILL RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ341695,Long,-1.468222,Lat,55.018882,Elevation,197,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,2.34,0.4,2.3,1.95,0.7,0.51,,,1.17,2.14,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.78,1.45,1.78,1,2.56,1.93,3.53,1.41,1.81,2.52,4.92
February,,,,,,0.73,2.35,1.38,0.85,2.4,1.46,,,1.05,1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,3.2,1.83,0.68,1.26,2.02,2.16,1.42,2.29,3.01,0.54,1.89
March,,,,,,0.57,1.29,2.13,0.82,0.7,1.7,,,0.9,1.54,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,0.73,3.64,1.26,0.06,1.1,1.76,0.57,1.42,3.51,0.59,1.71
April,,,,,,0.59,3.25,3.98,1.9,2.2,1.92,,,1.23,1.9,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.59,1.96,1.78,2.08,0.38,0.93,1.01,0.64,1.83,1.87,0.8
May,,,,,,1.08,0.8,2.59,2.45,2.24,1.3,,,1.39,0.92,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,1.8,3.69,2.37,2.16,2.92,1.78,0.42,1.86,2.96,0.44,2.24
June,,,,,,1.11,1.96,0.87,2.15,3.76,0.81,,,2.34,0.88,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,1.29,2.11,2.18,2.04,2.49,2.47,2.67,1.88,2.72,2.35,0.5
July,,,,,,5.74,2.37,2.8,0.2,4.3,5.38,,,3,2.94,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,3.42,1.63,0.88,3.04,1.71,0.95,2.6,2.76,2.7,2.44,3.63
August,,,,,,3.12,0.85,6.8,5.8,3.59,1.38,,,3.66,0.42,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,5.82,4.2,2.08,3.68,5.5,0.88,7.2,3.6,3.71,0.52,4.19
September,,,,,,2.98,2.62,1.45,1.65,0.78,4.3,,,2.23,1.03,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,3.11,1.01,2.81,1.23,2.96,0.86,2.46,3.95,2.04,0.74,2.22
October,,,,,,2.6,1.85,2.25,0.6,0.5,4.1,,,1.33,0.94,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31,1.05,0.95,2.15,1.28,4.34,1.74,1.83,1.85,1.26,1.5,5.95
November,,,,,,4.75,3.1,1.05,4.46,2.48,2.79,,,0.95,1.2,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81,5.03,5.84,3.87,1.14,3.43,1.47,0.82,1.11,0.8,2.86,2.44
December,,,,,,0.9,4.51,2.05,3.2,0.24,3.47,,,1.3,1.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,2.71,1.97,3.02,0.94,1.51,3.12,2.08,1.53,3.31,3.31,2.04
Total,,,,,,26.51,25.35,29.65,26.03,23.89,29.12,,,20.55,16.21,21.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.88,31.53,30.28,24.86,19.91,30.92,20.05,26.61,24.3,29.66,19.68,32.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long break in record from 1885 to 1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covered reservoir now being developed as a housing estate (Jan 2020).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
