GREENFIELD-CHEW-BLINDSTONES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE038014,Long,-1.9441714,Lat,53.509273,Elevation,1745,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,3093/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,6.11,2.55,4.26,5.15,6.55,10.14,5.46,7.1,4.21,12.49,4.24,4.83,7.38,,3.16,6.34,4.89,6.02,4.88,5.33,5.17,7.89
February,,,,,,,,,6.25,4.45,7.65,2,4.48,4.24,8.21,8.99,2.2,4.08,3.29,6.31,5.5,2.4,,4.8,3.01,2.66,4.53,7.84,0.82,3.5
March,,,,,,,,,3.93,5.07,6.9,3.82,2.8,1.48,2.25,2.28,7.7,2.16,3.08,3.69,7.3,3.84,3.44,3.23,3.63,1.88,5.86,3.84,2.9,1.87
April,,,,,,,,,3.52,3.5,3.88,2.2,3.76,4.42,2.99,2.66,4.55,2.7,6.13,5.48,3.65,4.61,4.34,1.61,2.87,4.1,0.97,2.32,4.81,3.55
May,,,,,,,,,3.2,1,3.94,4.15,3.46,6.76,3.99,2.58,4.11,2.09,3.43,2.59,4.1,2.93,3.1,4.43,5.51,2.29,1.7,5.04,1.91,2.57
June,,,,,,,,,4.5,1.1,2.48,1.55,6.5,5.08,7.95,5.14,3.09,6.38,1.34,3.84,1.77,4.25,5.23,5.25,4.7,,3.49,7.06,2.89,2.72
July,,,,,,,,,9.92,7.04,4.62,8.69,3.85,5.25,2.53,9.45,4.09,3.78,3.67,4.51,4.59,4.59,11.45,8.83,1.97,8.18,7.05,6.77,4.53,12.24
August,,,,,,,,,3.17,4.46,8.95,6.78,10.6,5.82,5.18,6.51,0.33,6.66,4.28,6.3,8.27,4.01,7.79,8.47,0.76,14.83,8,7.69,0.54,7.55
September,,,,,,,,,2.45,7.14,1.1,4.94,6.45,7.62,4.22,9.15,3.25,4.45,2.47,9.41,4.15,5.7,4.36,7.31,3.28,5.37,10.37,6.79,0.5,4.94
October,,,,,,,,,3.46,5.27,8.45,11.71,4.12,5.44,7.1,1.65,1.67,4.28,4.53,3.11,1.3,6.23,2.62,10.77,3.07,4.03,7.71,5.67,4.76,8.8
November,,,,,,,,6.1,9.89,9.03,3.9,1.64,5.55,9.99,1.43,9.09,8.38,3.84,9.37,8.04,10.78,4.52,6.03,7.3,2.34,2.83,3.91,2.08,6.79,7.39
December,,,,,,,,5.65,4.76,8.2,4.24,5.57,3.46,5.22,4.03,5.31,7.35,4.08,9,,8.58,5.65,3.47,9.36,6.68,6.8,7.41,5.31,7.54,6.47
Total,,,,,,,,,61.16,58.81,60.37,58.2,61.58,71.46,55.34,69.91,50.93,56.99,54.83,,67.37,,,77.7,42.71,,65.88,65.74,43.16,69.49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is near Chew reservoir on Blindstones Moss.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stated altitude is 30 ft. too low or gauge is 200m SW, closer to a outcrop called Blindstones",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MIDAS src_id 11942, continues to 1982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb and Mar 1947 estimated for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
