UPMINSTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ560865,Long,0.249628,Lat,51.55623,Elevation,75,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1690,1691,1692,1693,1694,1695,1696,1697,1698,1699,1700,1701,1702,1703,1704,1705,1706,1707,1708,1709,1710,1711,1712,1713,1714,1715,1716,1717,1718,1719
January,,,,,,,,0.72,2.2,1.79,0.79,3,1.97,1.79,0.82,0.22,,-999,2.88,,,,,,,0.87,1.73,,,
February,,,,,,,,0.36,0.26,1.22,1.54,1.77,1.47,1.29,0.44,1.11,,-999,0.46,,,,,,,0.62,0.35,,,
March,,,,,,,,0.54,1.88,1.13,0.31,0.79,0.48,0.95,3.22,1.12,,-999,2.03,,,,,,,2.52,0.39,,,
April,,,,,,,,1.51,1.62,0.69,1.53,0.29,2.19,2.51,0.95,1.04,,-999,0.96,,,,,,,2.65,1.01,,,
May,,,,,,,,0.64,2.42,0.54,1.39,1.83,1.3,4.17,0.44,0.41,,1.05,2.02,,,,,,,0.94,1.91,,,
June,,,,,,,,0.99,1.76,0.88,1.53,1.16,2.71,2.92,1.32,0.66,,1.34,2.32,,,,,,,3.28,1.66,,,
July,,,,,,,,1.24,3.42,1.33,0.85,1.91,0.88,3,1.29,1.12,,1.27,1.11,,,,,,,4.02,0.9,,,
August,,,,,,,,2.81,1.41,1.72,1.63,1.32,1.38,0.68,0.63,2.17,,2.18,2.94,,,,,,,4.12,0.42,,,
September,,,,,,,,2.1,2.43,1.62,2.98,1.13,1.62,2.99,1.49,0.41,,2.9,1.46,,,,,,,1.84,1.98,,,
October,,,,,,,,1.69,2.63,2.71,3.45,2.05,1.59,1.92,0.81,3.22,,1.32,0.23,,,,,,,2.83,3.17,,,
November,,,,,,,,1.13,3.38,0.39,1.05,1.65,2.82,1.46,1.79,1.17,,1.18,0.86,,,,,,,1.72,0.89,,,
December,,,,,,,,1.87,1.18,1.17,2.07,1.88,2.07,0.43,2.68,4.36,,2.43,1.97,,,,,,,0.51,1.44,,,
Total,,,,,,,,15.6,24.59,15.19,19.12,18.78,20.48,24.11,15.88,17.01,24.41,16.39,19.24,26.69,18.46,23.72,23.88,23.28,11.25,25.92,15.85,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1704 Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1707 - Jan-Apr (-999) to preserve total with incomplete monthly record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1712 total reinstated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
