"BOURNEMOUTH (VALE VIEW)",,,,,,,,,,,,
Grid ref,SZ082919,Long,-1.885190,Lat,50.726664,,,,,,,
Station no,614,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.22,2.00,1.01,1.70,3.30,5.04,2.87,4.16,3.69,3.80,,
February,6.04,0.59,1.25,3.28,1.98,0.04,3.86,2.73,0.33,2.80,,
March,3.56,2.61,0.54,4.31,1.24,0.98,2.55,1.61,3.76,2.09,,
April,3.10,1.97,2.11,0.15,0.58,2.03,0.25,0.67,2.51,1.97,,
May,2.57,2.29,2.49,3.22,4.02,0.42,1.65,2.04,0.67,2.23,,
June,0.54,0.91,2.16,2.79,2.83,2.71,1.38,4.44,1.70,2.56,,
July,1.19,0.77,3.34,3.24,0.48,4.36,2.77,1.98,2.30,3.77,,
August,4.14,2.35,1.78,3.03,1.12,2.88,2.33,3.22,2.48,4.51,,
September,3.25,4.56,2.78,3.32,1.53,5.33,2.84,4.53,0.28,5.92,,
October,1.66,4.89,2.99,2.93,4.65,2.06,2.44,3.40,3.21,9.24,,
November,10.00,4.25,1.92,5.44,2.67,0.86,2.22,2.84,4.17,5.53,,
December,2.89,2.73,0.73,2.77,5.18,5.53,2.79,4.08,7.63,3.84,,
Total,42.16,29.92,23.10,36.18,29.58,32.24,27.95,35.70,32.73,48.26,,
Calc annual,42.16,29.92,23.10,36.18,29.58,32.24,27.95,35.70,32.73,48.26,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,-0.00,,
