WEST TANFIELD RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE267787,Long,-1.592,Lat,54.203,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,3.89,4.50,5.40,1.11,1.10,3.68,2.65,3.89,4.11,3.78,4.16,1.58,2.17,2.72,3.67,2.49,5.19,1.95,4.49,2.15,2.15,2.80,1.94,1.83,4.55,3.75,3.75,5.52,2.60,3.74,3.04,4.44,2.08,3.52,2.28,2.56,6.63,0.97,0.92
February,4.11,1.89,1.37,2.13,3.53,0.97,2.71,1.61,1.32,0.14,2.86,6.45,0.97,3.98,2.28,1.57,2.30,1.12,1.36,2.03,0.65,5.74,0.30,3.38,3.13,4.43,1.40,1.69,2.02,4.85,1.73,0.87,1.57,2.73,1.55,2.16,1.12,1.34,4.66
March,1.11,3.57,4.55,1.60,4.17,1.92,1.27,3.71,2.96,1.26,2.06,1.60,1.61,1.09,0.86,2.10,3.56,0.15,3.27,1.00,1.88,1.84,2.42,0.81,2.25,3.78,0.09,1.99,1.75,3.25,2.77,0.73,0.24,0.49,1.14,4.54,1.56,1.23,0.99
April,0.62,0.15,4.16,0.64,1.30,2.45,1.25,1.71,4.56,1.24,3.22,2.41,1.83,3.71,0.98,1.70,0.41,0.96,3.60,4.17,2.54,1.40,3.34,2.54,1.19,4.04,0.07,0.78,1.66,1.52,0.99,1.26,2.58,1.36,1.71,3.88,2.10,2.59,2.01
May,1.57,2.76,2.51,1.44,3.24,1.58,2.57,1.15,3.50,2.13,0.48,2.11,5.83,3.66,1.82,1.96,2.00,1.34,1.20,3.58,5.06,3.18,1.52,1.27,1.99,3.06,2.71,1.54,0.94,1.40,2.74,2.47,0.69,2.93,2.64,2.34,1.58,1.16,1.42
June,0.34,7.04,2.02,2.14,1.45,2.21,0.87,0.95,1.26,0.40,1.63,0.78,2.63,0.05,3.63,3.00,3.92,1.41,1.60,4.00,0.90,0.88,1.51,3.27,5.54,1.94,3.21,2.57,0.87,0.26,0.96,2.19,2.39,2.38,1.80,3.02,3.85,1.11,1.01
July,4.03,3.52,0.85,3.21,2.40,1.14,4.98,1.39,5.02,1.64,4.88,2.69,4.27,1.55,2.28,5.26,0.28,3.19,5.83,5.35,3.96,1.79,1.22,0.42,4.45,1.58,3.28,5.51,4.03,2.13,2.63,0.70,2.05,1.85,2.80,2.76,0.70,1.96,2.74
August,3.20,5.49,1.09,1.10,1.80,7.12,2.23,2.33,1.59,4.16,3.53,3.70,2.22,2.12,2.92,6.62,3.89,2.51,3.41,5.47,1.65,0.32,2.19,2.41,2.12,0.99,4.79,2.16,0.38,1.98,2.37,2.62,1.92,3.08,5.13,0.27,4.24,2.76,4.21
September,0.75,2.61,1.70,1.08,2.31,0.59,5.99,0.55,1.19,1.55,3.18,2.14,3.45,2.58,1.91,4.52,0.42,0.76,4.07,4.34,1.44,1.54,1.88,5.41,2.26,0.76,2.11,1.05,1.09,0.34,1.49,3.79,5.11,1.46,4.60,1.51,1.88,1.39,3.21
October,1.08,2.84,3.02,1.81,4.36,3.81,2.51,4.09,3.84,1.42,1.10,2.82,4.16,3.12,3.04,3.21,4.44,2.91,2.66,1.10,3.69,3.50,2.72,4.87,1.48,2.03,5.04,3.88,3.40,3.41,1.79,1.77,2.97,4.36,1.08,0.78,0.57,3.05,0.80
November,1.83,2.06,2.22,3.41,3.15,1.14,1.58,2.61,1.56,2.57,1.10,4.06,1.72,1.57,6.14,2.34,3.55,4.11,4.27,4.46,1.29,2.97,2.39,4.64,2.76,2.02,4.04,3.03,3.67,3.02,1.08,2.10,5.35,0.46,5.55,1.87,0.89,3.43,3.79
December,7.48,2.47,1.79,6.27,2.09,1.56,4.02,4.20,3.32,3.00,4.13,3.29,4.07,3.47,0.86,2.69,1.54,6.97,3.24,1.33,1.19,0.65,5.69,2.32,2.68,3.89,5.00,1.72,1.53,0.79,2.08,1.43,2.47,1.72,2.87,1.78,2.32,2.66,1.57
Total,30.01,38.90,30.68,25.94,30.90,28.17,32.63,28.19,34.23,23.29,32.33,33.63,34.93,29.62,30.39,37.46,31.50,27.38,39.00,38.98,26.40,26.61,27.12,33.17,34.40,32.27,35.49,31.44,23.94,26.69,23.67,24.37,29.42,26.34,33.15,27.47,27.44,23.65,27.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
